path,min,max,type
ConditionDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.meta,0,1,Meta
ConditionDefinition.implicitRules,0,1,uri
ConditionDefinition.language,0,1,code
ConditionDefinition.text,0,1,Narrative
ConditionDefinition.contained,0,*,Resource
ConditionDefinition.extension,0,*,Extension
ConditionDefinition.modifierExtension,0,*,Extension
ConditionDefinition.url,0,1,uri
ConditionDefinition.identifier,0,*,Identifier
ConditionDefinition.version,0,1,string
ConditionDefinition.name,0,1,string
ConditionDefinition.title,0,1,string
ConditionDefinition.subtitle,0,1,string
ConditionDefinition.status,1,1,code
ConditionDefinition.experimental,0,1,boolean
ConditionDefinition.date,0,1,dateTime
ConditionDefinition.publisher,0,1,string
ConditionDefinition.contact,0,*,ContactDetail
ConditionDefinition.description,0,1,markdown
ConditionDefinition.useContext,0,*,UsageContext
ConditionDefinition.jurisdiction,0,*,CodeableConcept
ConditionDefinition.code,1,1,CodeableConcept
ConditionDefinition.severity,0,1,CodeableConcept
ConditionDefinition.bodySite,0,1,CodeableConcept
ConditionDefinition.stage,0,1,CodeableConcept
ConditionDefinition.hasSeverity,0,1,boolean
ConditionDefinition.hasBodySite,0,1,boolean
ConditionDefinition.hasStage,0,1,boolean
ConditionDefinition.definition,0,*,uri
ConditionDefinition.observation,0,*,BackboneElement
ConditionDefinition.observation.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.observation.extension,0,*,Extension
ConditionDefinition.observation.modifierExtension,0,*,Extension
ConditionDefinition.observation.category,0,1,CodeableConcept
ConditionDefinition.observation.code,0,1,CodeableConcept
ConditionDefinition.medication,0,*,BackboneElement
ConditionDefinition.medication.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.medication.extension,0,*,Extension
ConditionDefinition.medication.modifierExtension,0,*,Extension
ConditionDefinition.medication.category,0,1,CodeableConcept
ConditionDefinition.medication.code,0,1,CodeableConcept
ConditionDefinition.precondition,0,*,BackboneElement
ConditionDefinition.precondition.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.precondition.extension,0,*,Extension
ConditionDefinition.precondition.modifierExtension,0,*,Extension
ConditionDefinition.precondition.type,1,1,code
ConditionDefinition.precondition.code,1,1,CodeableConcept
ConditionDefinition.precondition.value[x],0,1,CodeableConcept;Quantity
ConditionDefinition.team,0,*,Reference
ConditionDefinition.questionnaire,0,*,BackboneElement
ConditionDefinition.questionnaire.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.questionnaire.extension,0,*,Extension
ConditionDefinition.questionnaire.modifierExtension,0,*,Extension
ConditionDefinition.questionnaire.purpose,1,1,code
ConditionDefinition.questionnaire.reference,1,1,Reference
ConditionDefinition.plan,0,*,BackboneElement
ConditionDefinition.plan.id,0,1,http://hl7.org/fhirpath/System.String
ConditionDefinition.plan.extension,0,*,Extension
ConditionDefinition.plan.modifierExtension,0,*,Extension
ConditionDefinition.plan.role,0,1,CodeableConcept
ConditionDefinition.plan.reference,1,1,Reference
