path,min,max,type
Consent.id,0,1,http://hl7.org/fhirpath/System.String
Consent.meta,0,1,Meta
Consent.implicitRules,0,1,uri
Consent.language,0,1,code
Consent.text,0,1,Narrative
Consent.contained,0,*,Resource
Consent.extension,0,*,Extension
Consent.modifierExtension,0,*,Extension
Consent.identifier,0,*,Identifier
Consent.status,1,1,code
Consent.category,0,*,CodeableConcept
Consent.subject,0,1,Reference
Consent.date,0,1,date
Consent.period,0,1,Period
Consent.grantor,0,*,Reference
Consent.grantee,0,*,Reference
Consent.manager,0,*,Reference
Consent.controller,0,*,Reference
Consent.sourceAttachment,0,*,Attachment
Consent.sourceReference,0,*,Reference
Consent.regulatoryBasis,0,*,CodeableConcept
Consent.policyBasis,0,1,BackboneElement
Consent.policyBasis.id,0,1,http://hl7.org/fhirpath/System.String
Consent.policyBasis.extension,0,*,Extension
Consent.policyBasis.modifierExtension,0,*,Extension
Consent.policyBasis.reference,0,1,Reference
Consent.policyBasis.url,0,1,url
Consent.policyText,0,*,Reference
Consent.verification,0,*,BackboneElement
Consent.verification.id,0,1,http://hl7.org/fhirpath/System.String
Consent.verification.extension,0,*,Extension
Consent.verification.modifierExtension,0,*,Extension
Consent.verification.verified,1,1,boolean
Consent.verification.verificationType,0,1,CodeableConcept
Consent.verification.verifiedBy,0,1,Reference
Consent.verification.verifiedWith,0,1,Reference
Consent.verification.verificationDate,0,*,dateTime
Consent.decision,0,1,code
Consent.provision,0,*,BackboneElement
Consent.provision.id,0,1,http://hl7.org/fhirpath/System.String
Consent.provision.extension,0,*,Extension
Consent.provision.modifierExtension,0,*,Extension
Consent.provision.period,0,1,Period
Consent.provision.actor,0,*,BackboneElement
Consent.provision.actor.id,0,1,http://hl7.org/fhirpath/System.String
Consent.provision.actor.extension,0,*,Extension
Consent.provision.actor.modifierExtension,0,*,Extension
Consent.provision.actor.role,0,1,CodeableConcept
Consent.provision.actor.reference,0,1,Reference
Consent.provision.action,0,*,CodeableConcept
Consent.provision.securityLabel,0,*,Coding
Consent.provision.purpose,0,*,Coding
Consent.provision.documentType,0,*,Coding
Consent.provision.resourceType,0,*,Coding
Consent.provision.code,0,*,CodeableConcept
Consent.provision.dataPeriod,0,1,Period
Consent.provision.data,0,*,BackboneElement
Consent.provision.data.id,0,1,http://hl7.org/fhirpath/System.String
Consent.provision.data.extension,0,*,Extension
Consent.provision.data.modifierExtension,0,*,Extension
Consent.provision.data.meaning,1,1,code
Consent.provision.data.reference,1,1,Reference
Consent.provision.expression,0,1,Expression
