path,min,max,type
Contract.id,0,1,http://hl7.org/fhirpath/System.String
Contract.meta,0,1,Meta
Contract.implicitRules,0,1,uri
Contract.language,0,1,code
Contract.text,0,1,Narrative
Contract.contained,0,*,Resource
Contract.extension,0,*,Extension
Contract.modifierExtension,0,*,Extension
Contract.identifier,0,*,Identifier
Contract.url,0,1,uri
Contract.version,0,1,string
Contract.status,0,1,code
Contract.legalState,0,1,CodeableConcept
Contract.instantiatesCanonical,0,1,Reference
Contract.instantiatesUri,0,1,uri
Contract.contentDerivative,0,1,CodeableConcept
Contract.issued,0,1,dateTime
Contract.applies,0,1,Period
Contract.expirationType,0,1,CodeableConcept
Contract.subject,0,*,Reference
Contract.authority,0,*,Reference
Contract.domain,0,*,Reference
Contract.site,0,*,Reference
Contract.name,0,1,string
Contract.title,0,1,string
Contract.subtitle,0,1,string
Contract.alias,0,*,string
Contract.author,0,1,Reference
Contract.scope,0,1,CodeableConcept
Contract.topic[x],0,1,CodeableConcept;Reference
Contract.type,0,1,CodeableConcept
Contract.subType,0,*,CodeableConcept
Contract.contentDefinition,0,1,BackboneElement
Contract.contentDefinition.id,0,1,http://hl7.org/fhirpath/System.String
Contract.contentDefinition.extension,0,*,Extension
Contract.contentDefinition.modifierExtension,0,*,Extension
Contract.contentDefinition.type,1,1,CodeableConcept
Contract.contentDefinition.subType,0,1,CodeableConcept
Contract.contentDefinition.publisher,0,1,Reference
Contract.contentDefinition.publicationDate,0,1,dateTime
Contract.contentDefinition.publicationStatus,1,1,code
Contract.contentDefinition.copyright,0,1,markdown
Contract.term,0,*,BackboneElement
Contract.term.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.extension,0,*,Extension
Contract.term.modifierExtension,0,*,Extension
Contract.term.identifier,0,1,Identifier
Contract.term.issued,0,1,dateTime
Contract.term.applies,0,1,Period
Contract.term.topic[x],0,1,CodeableConcept;Reference
Contract.term.type,0,1,CodeableConcept
Contract.term.subType,0,1,CodeableConcept
Contract.term.text,0,1,string
Contract.term.securityLabel,0,*,BackboneElement
Contract.term.securityLabel.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.securityLabel.extension,0,*,Extension
Contract.term.securityLabel.modifierExtension,0,*,Extension
Contract.term.securityLabel.number,0,*,unsignedInt
Contract.term.securityLabel.classification,1,1,Coding
Contract.term.securityLabel.category,0,*,Coding
Contract.term.securityLabel.control,0,*,Coding
Contract.term.offer,1,1,BackboneElement
Contract.term.offer.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.offer.extension,0,*,Extension
Contract.term.offer.modifierExtension,0,*,Extension
Contract.term.offer.identifier,0,*,Identifier
Contract.term.offer.party,0,*,BackboneElement
Contract.term.offer.party.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.offer.party.extension,0,*,Extension
Contract.term.offer.party.modifierExtension,0,*,Extension
Contract.term.offer.party.reference,1,*,Reference
Contract.term.offer.party.role,1,1,CodeableConcept
Contract.term.offer.topic,0,1,Reference
Contract.term.offer.type,0,1,CodeableConcept
Contract.term.offer.decision,0,1,CodeableConcept
Contract.term.offer.decisionMode,0,*,CodeableConcept
Contract.term.offer.answer,0,*,BackboneElement
Contract.term.offer.answer.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.offer.answer.extension,0,*,Extension
Contract.term.offer.answer.modifierExtension,0,*,Extension
Contract.term.offer.answer.value[x],1,1,boolean;decimal;integer;date;dateTime;time;string;uri;Attachment;Coding;Quantity;Reference
Contract.term.offer.text,0,1,string
Contract.term.offer.linkId,0,*,string
Contract.term.offer.securityLabelNumber,0,*,unsignedInt
Contract.term.asset,0,*,BackboneElement
Contract.term.asset.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.asset.extension,0,*,Extension
Contract.term.asset.modifierExtension,0,*,Extension
Contract.term.asset.scope,0,1,CodeableConcept
Contract.term.asset.type,0,*,CodeableConcept
Contract.term.asset.typeReference,0,*,Reference
Contract.term.asset.subtype,0,*,CodeableConcept
Contract.term.asset.relationship,0,1,Coding
Contract.term.asset.context,0,*,BackboneElement
Contract.term.asset.context.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.asset.context.extension,0,*,Extension
Contract.term.asset.context.modifierExtension,0,*,Extension
Contract.term.asset.context.reference,0,1,Reference
Contract.term.asset.context.code,0,*,CodeableConcept
Contract.term.asset.context.text,0,1,string
Contract.term.asset.condition,0,1,string
Contract.term.asset.periodType,0,*,CodeableConcept
Contract.term.asset.period,0,*,Period
Contract.term.asset.usePeriod,0,*,Period
Contract.term.asset.text,0,1,string
Contract.term.asset.linkId,0,*,string
Contract.term.asset.securityLabelNumber,0,*,unsignedInt
Contract.term.asset.valuedItem,0,*,BackboneElement
Contract.term.asset.valuedItem.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.asset.valuedItem.extension,0,*,Extension
Contract.term.asset.valuedItem.modifierExtension,0,*,Extension
Contract.term.asset.valuedItem.entity[x],0,1,CodeableConcept;Reference
Contract.term.asset.valuedItem.identifier,0,1,Identifier
Contract.term.asset.valuedItem.effectiveTime,0,1,dateTime
Contract.term.asset.valuedItem.quantity,0,1,Quantity
Contract.term.asset.valuedItem.unitPrice,0,1,Money
Contract.term.asset.valuedItem.factor,0,1,decimal
Contract.term.asset.valuedItem.points,0,1,decimal
Contract.term.asset.valuedItem.net,0,1,Money
Contract.term.asset.valuedItem.payment,0,1,string
Contract.term.asset.valuedItem.paymentDate,0,1,dateTime
Contract.term.asset.valuedItem.responsible,0,1,Reference
Contract.term.asset.valuedItem.recipient,0,1,Reference
Contract.term.asset.valuedItem.linkId,0,*,string
Contract.term.asset.valuedItem.securityLabelNumber,0,*,unsignedInt
Contract.term.action,0,*,BackboneElement
Contract.term.action.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.action.extension,0,*,Extension
Contract.term.action.modifierExtension,0,*,Extension
Contract.term.action.doNotPerform,0,1,boolean
Contract.term.action.type,1,1,CodeableConcept
Contract.term.action.subject,0,*,BackboneElement
Contract.term.action.subject.id,0,1,http://hl7.org/fhirpath/System.String
Contract.term.action.subject.extension,0,*,Extension
Contract.term.action.subject.modifierExtension,0,*,Extension
Contract.term.action.subject.reference,1,*,Reference
Contract.term.action.subject.role,0,1,CodeableConcept
Contract.term.action.intent,1,1,CodeableConcept
Contract.term.action.linkId,0,*,string
Contract.term.action.status,1,1,CodeableConcept
Contract.term.action.context,0,1,Reference
Contract.term.action.contextLinkId,0,*,string
Contract.term.action.occurrence[x],0,1,dateTime;Period;Timing
Contract.term.action.requester,0,*,Reference
Contract.term.action.requesterLinkId,0,*,string
Contract.term.action.performerType,0,*,CodeableConcept
Contract.term.action.performerRole,0,1,CodeableConcept
Contract.term.action.performer,0,1,Reference
Contract.term.action.performerLinkId,0,*,string
Contract.term.action.reason,0,*,CodeableReference
Contract.term.action.reasonLinkId,0,*,string
Contract.term.action.note,0,*,Annotation
Contract.term.action.securityLabelNumber,0,*,unsignedInt
Contract.supportingInfo,0,*,Reference
Contract.relevantHistory,0,*,Reference
Contract.signer,0,*,BackboneElement
Contract.signer.id,0,1,http://hl7.org/fhirpath/System.String
Contract.signer.extension,0,*,Extension
Contract.signer.modifierExtension,0,*,Extension
Contract.signer.type,1,1,Coding
Contract.signer.party,1,1,Reference
Contract.signer.signature,1,*,Signature
Contract.friendly,0,*,BackboneElement
Contract.friendly.id,0,1,http://hl7.org/fhirpath/System.String
Contract.friendly.extension,0,*,Extension
Contract.friendly.modifierExtension,0,*,Extension
Contract.friendly.content[x],1,1,Attachment;Reference
Contract.legal,0,*,BackboneElement
Contract.legal.id,0,1,http://hl7.org/fhirpath/System.String
Contract.legal.extension,0,*,Extension
Contract.legal.modifierExtension,0,*,Extension
Contract.legal.content[x],1,1,Attachment;Reference
Contract.rule,0,*,BackboneElement
Contract.rule.id,0,1,http://hl7.org/fhirpath/System.String
Contract.rule.extension,0,*,Extension
Contract.rule.modifierExtension,0,*,Extension
Contract.rule.content[x],1,1,Attachment;Reference
Contract.legallyBinding[x],0,1,Attachment;Reference
