path,min,max,type
CoverageEligibilityRequest.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityRequest.meta,0,1,Meta
CoverageEligibilityRequest.implicitRules,0,1,uri
CoverageEligibilityRequest.language,0,1,code
CoverageEligibilityRequest.text,0,1,Narrative
CoverageEligibilityRequest.contained,0,*,Resource
CoverageEligibilityRequest.extension,0,*,Extension
CoverageEligibilityRequest.modifierExtension,0,*,Extension
CoverageEligibilityRequest.identifier,0,*,Identifier
CoverageEligibilityRequest.status,1,1,code
CoverageEligibilityRequest.priority,0,1,CodeableConcept
CoverageEligibilityRequest.purpose,1,*,code
CoverageEligibilityRequest.patient,1,1,Reference
CoverageEligibilityRequest.serviced[x],0,1,date;Period
CoverageEligibilityRequest.created,1,1,dateTime
CoverageEligibilityRequest.enterer,0,1,Reference
CoverageEligibilityRequest.provider,0,1,Reference
CoverageEligibilityRequest.insurer,1,1,Reference
CoverageEligibilityRequest.facility,0,1,Reference
CoverageEligibilityRequest.supportingInfo,0,*,BackboneElement
CoverageEligibilityRequest.supportingInfo.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityRequest.supportingInfo.extension,0,*,Extension
CoverageEligibilityRequest.supportingInfo.modifierExtension,0,*,Extension
CoverageEligibilityRequest.supportingInfo.sequence,1,1,positiveInt
CoverageEligibilityRequest.supportingInfo.information,1,1,Reference
CoverageEligibilityRequest.supportingInfo.appliesToAll,0,1,boolean
CoverageEligibilityRequest.insurance,0,*,BackboneElement
CoverageEligibilityRequest.insurance.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityRequest.insurance.extension,0,*,Extension
CoverageEligibilityRequest.insurance.modifierExtension,0,*,Extension
CoverageEligibilityRequest.insurance.focal,0,1,boolean
CoverageEligibilityRequest.insurance.coverage,1,1,Reference
CoverageEligibilityRequest.insurance.businessArrangement,0,1,string
CoverageEligibilityRequest.item,0,*,BackboneElement
CoverageEligibilityRequest.item.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityRequest.item.extension,0,*,Extension
CoverageEligibilityRequest.item.modifierExtension,0,*,Extension
CoverageEligibilityRequest.item.supportingInfoSequence,0,*,positiveInt
CoverageEligibilityRequest.item.category,0,1,CodeableConcept
CoverageEligibilityRequest.item.productOrService,0,1,CodeableConcept
CoverageEligibilityRequest.item.modifier,0,*,CodeableConcept
CoverageEligibilityRequest.item.provider,0,1,Reference
CoverageEligibilityRequest.item.quantity,0,1,Quantity
CoverageEligibilityRequest.item.unitPrice,0,1,Money
CoverageEligibilityRequest.item.facility,0,1,Reference
CoverageEligibilityRequest.item.diagnosis,0,*,BackboneElement
CoverageEligibilityRequest.item.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityRequest.item.diagnosis.extension,0,*,Extension
CoverageEligibilityRequest.item.diagnosis.modifierExtension,0,*,Extension
CoverageEligibilityRequest.item.diagnosis.diagnosis[x],0,1,CodeableConcept;Reference
CoverageEligibilityRequest.item.detail,0,*,Reference
