path,min,max,type
CoverageEligibilityResponse.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityResponse.meta,0,1,Meta
CoverageEligibilityResponse.implicitRules,0,1,uri
CoverageEligibilityResponse.language,0,1,code
CoverageEligibilityResponse.text,0,1,Narrative
CoverageEligibilityResponse.contained,0,*,Resource
CoverageEligibilityResponse.extension,0,*,Extension
CoverageEligibilityResponse.modifierExtension,0,*,Extension
CoverageEligibilityResponse.identifier,0,*,Identifier
CoverageEligibilityResponse.status,1,1,code
CoverageEligibilityResponse.purpose,1,*,code
CoverageEligibilityResponse.patient,1,1,Reference
CoverageEligibilityResponse.serviced[x],0,1,date;Period
CoverageEligibilityResponse.created,1,1,dateTime
CoverageEligibilityResponse.requestor,0,1,Reference
CoverageEligibilityResponse.request,1,1,Reference
CoverageEligibilityResponse.outcome,1,1,code
CoverageEligibilityResponse.disposition,0,1,string
CoverageEligibilityResponse.insurer,1,1,Reference
CoverageEligibilityResponse.insurance,0,*,BackboneElement
CoverageEligibilityResponse.insurance.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityResponse.insurance.extension,0,*,Extension
CoverageEligibilityResponse.insurance.modifierExtension,0,*,Extension
CoverageEligibilityResponse.insurance.coverage,1,1,Reference
CoverageEligibilityResponse.insurance.inforce,0,1,boolean
CoverageEligibilityResponse.insurance.benefitPeriod,0,1,Period
CoverageEligibilityResponse.insurance.item,0,*,BackboneElement
CoverageEligibilityResponse.insurance.item.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityResponse.insurance.item.extension,0,*,Extension
CoverageEligibilityResponse.insurance.item.modifierExtension,0,*,Extension
CoverageEligibilityResponse.insurance.item.category,0,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.productOrService,0,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.modifier,0,*,CodeableConcept
CoverageEligibilityResponse.insurance.item.provider,0,1,Reference
CoverageEligibilityResponse.insurance.item.excluded,0,1,boolean
CoverageEligibilityResponse.insurance.item.name,0,1,string
CoverageEligibilityResponse.insurance.item.description,0,1,string
CoverageEligibilityResponse.insurance.item.network,0,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.unit,0,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.term,0,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.benefit,0,*,BackboneElement
CoverageEligibilityResponse.insurance.item.benefit.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityResponse.insurance.item.benefit.extension,0,*,Extension
CoverageEligibilityResponse.insurance.item.benefit.modifierExtension,0,*,Extension
CoverageEligibilityResponse.insurance.item.benefit.type,1,1,CodeableConcept
CoverageEligibilityResponse.insurance.item.benefit.allowed[x],0,1,unsignedInt;string;Money
CoverageEligibilityResponse.insurance.item.benefit.used[x],0,1,unsignedInt;string;Money
CoverageEligibilityResponse.insurance.item.authorizationRequired,0,1,boolean
CoverageEligibilityResponse.insurance.item.authorizationSupporting,0,*,CodeableConcept
CoverageEligibilityResponse.insurance.item.authorizationUrl,0,1,uri
CoverageEligibilityResponse.preAuthRef,0,1,string
CoverageEligibilityResponse.form,0,1,CodeableConcept
CoverageEligibilityResponse.error,0,*,BackboneElement
CoverageEligibilityResponse.error.id,0,1,http://hl7.org/fhirpath/System.String
CoverageEligibilityResponse.error.extension,0,*,Extension
CoverageEligibilityResponse.error.modifierExtension,0,*,Extension
CoverageEligibilityResponse.error.code,1,1,CodeableConcept
