path,min,max,type
DetectedIssue.id,0,1,http://hl7.org/fhirpath/System.String
DetectedIssue.meta,0,1,Meta
DetectedIssue.implicitRules,0,1,uri
DetectedIssue.language,0,1,code
DetectedIssue.text,0,1,Narrative
DetectedIssue.contained,0,*,Resource
DetectedIssue.extension,0,*,Extension
DetectedIssue.modifierExtension,0,*,Extension
DetectedIssue.identifier,0,*,Identifier
DetectedIssue.status,1,1,code
DetectedIssue.category,0,*,CodeableConcept
DetectedIssue.code,0,1,CodeableConcept
DetectedIssue.severity,0,1,code
DetectedIssue.subject,0,1,Reference
DetectedIssue.encounter,0,1,Reference
DetectedIssue.identified[x],0,1,dateTime;Period
DetectedIssue.author,0,1,Reference
DetectedIssue.implicated,0,*,Reference
DetectedIssue.evidence,0,*,BackboneElement
DetectedIssue.evidence.id,0,1,http://hl7.org/fhirpath/System.String
DetectedIssue.evidence.extension,0,*,Extension
DetectedIssue.evidence.modifierExtension,0,*,Extension
DetectedIssue.evidence.code,0,*,CodeableConcept
DetectedIssue.evidence.detail,0,*,Reference
DetectedIssue.detail,0,1,markdown
DetectedIssue.reference,0,1,uri
DetectedIssue.mitigation,0,*,BackboneElement
DetectedIssue.mitigation.id,0,1,http://hl7.org/fhirpath/System.String
DetectedIssue.mitigation.extension,0,*,Extension
DetectedIssue.mitigation.modifierExtension,0,*,Extension
DetectedIssue.mitigation.action,1,1,CodeableConcept
DetectedIssue.mitigation.date,0,1,dateTime
DetectedIssue.mitigation.author,0,1,Reference
DetectedIssue.mitigation.note,0,*,Annotation
