path,min,max,type
Device.id,0,1,http://hl7.org/fhirpath/System.String
Device.meta,0,1,Meta
Device.implicitRules,0,1,uri
Device.language,0,1,code
Device.text,0,1,Narrative
Device.contained,0,*,Resource
Device.extension,0,*,Extension
Device.modifierExtension,0,*,Extension
Device.identifier,0,*,Identifier
Device.displayName,0,1,string
Device.definition,0,1,CodeableReference
Device.udiCarrier,0,*,BackboneElement
Device.udiCarrier.id,0,1,http://hl7.org/fhirpath/System.String
Device.udiCarrier.extension,0,*,Extension
Device.udiCarrier.modifierExtension,0,*,Extension
Device.udiCarrier.deviceIdentifier,1,1,string
Device.udiCarrier.issuer,1,1,uri
Device.udiCarrier.jurisdiction,0,1,uri
Device.udiCarrier.carrierAIDC,0,1,base64Binary
Device.udiCarrier.carrierHRF,0,1,string
Device.udiCarrier.entryType,0,1,code
Device.status,0,1,code
Device.availabilityStatus,0,1,CodeableConcept
Device.biologicalSourceEvent,0,1,Identifier
Device.manufacturer,0,1,string
Device.manufactureDate,0,1,dateTime
Device.expirationDate,0,1,dateTime
Device.lotNumber,0,1,string
Device.serialNumber,0,1,string
Device.name,0,*,BackboneElement
Device.name.id,0,1,http://hl7.org/fhirpath/System.String
Device.name.extension,0,*,Extension
Device.name.modifierExtension,0,*,Extension
Device.name.value,1,1,string
Device.name.type,1,1,code
Device.name.display,0,1,boolean
Device.modelNumber,0,1,string
Device.partNumber,0,1,string
Device.category,0,*,CodeableConcept
Device.type,0,*,CodeableConcept
Device.version,0,*,BackboneElement
Device.version.id,0,1,http://hl7.org/fhirpath/System.String
Device.version.extension,0,*,Extension
Device.version.modifierExtension,0,*,Extension
Device.version.type,0,1,CodeableConcept
Device.version.component,0,1,Identifier
Device.version.installDate,0,1,dateTime
Device.version.value,1,1,string
Device.conformsTo,0,*,BackboneElement
Device.conformsTo.id,0,1,http://hl7.org/fhirpath/System.String
Device.conformsTo.extension,0,*,Extension
Device.conformsTo.modifierExtension,0,*,Extension
Device.conformsTo.category,0,1,CodeableConcept
Device.conformsTo.specification,1,1,CodeableConcept
Device.conformsTo.version,0,1,string
Device.property,0,*,BackboneElement
Device.property.id,0,1,http://hl7.org/fhirpath/System.String
Device.property.extension,0,*,Extension
Device.property.modifierExtension,0,*,Extension
Device.property.type,1,1,CodeableConcept
Device.property.value[x],1,1,Quantity;CodeableConcept;string;boolean;integer;Range;Attachment
Device.mode,0,1,CodeableConcept
Device.cycle,0,1,Count
Device.duration,0,1,Duration
Device.owner,0,1,Reference
Device.contact,0,*,ContactPoint
Device.location,0,1,Reference
Device.url,0,1,uri
Device.endpoint,0,*,Reference
Device.gateway,0,*,CodeableReference
Device.note,0,*,Annotation
Device.safety,0,*,CodeableConcept
Device.parent,0,1,Reference
