path,min,max,type
DeviceAssociation.id,0,1,http://hl7.org/fhirpath/System.String
DeviceAssociation.meta,0,1,Meta
DeviceAssociation.implicitRules,0,1,uri
DeviceAssociation.language,0,1,code
DeviceAssociation.text,0,1,Narrative
DeviceAssociation.contained,0,*,Resource
DeviceAssociation.extension,0,*,Extension
DeviceAssociation.modifierExtension,0,*,Extension
DeviceAssociation.identifier,0,*,Identifier
DeviceAssociation.device,1,1,Reference
DeviceAssociation.category,0,*,CodeableConcept
DeviceAssociation.status,1,1,CodeableConcept
DeviceAssociation.statusReason,0,*,CodeableConcept
DeviceAssociation.subject,0,1,Reference
DeviceAssociation.bodyStructure,0,1,Reference
DeviceAssociation.period,0,1,Period
DeviceAssociation.operator,0,*,Reference
