path,min,max,type
DeviceDefinition.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.meta,0,1,Meta
DeviceDefinition.implicitRules,0,1,uri
DeviceDefinition.language,0,1,code
DeviceDefinition.text,0,1,Narrative
DeviceDefinition.contained,0,*,Resource
DeviceDefinition.extension,0,*,Extension
DeviceDefinition.modifierExtension,0,*,Extension
DeviceDefinition.description,0,1,markdown
DeviceDefinition.identifier,0,*,Identifier
DeviceDefinition.udiDeviceIdentifier,0,*,BackboneElement
DeviceDefinition.udiDeviceIdentifier.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.udiDeviceIdentifier.extension,0,*,Extension
DeviceDefinition.udiDeviceIdentifier.modifierExtension,0,*,Extension
DeviceDefinition.udiDeviceIdentifier.deviceIdentifier,1,1,string
DeviceDefinition.udiDeviceIdentifier.issuer,1,1,uri
DeviceDefinition.udiDeviceIdentifier.jurisdiction,1,1,uri
DeviceDefinition.udiDeviceIdentifier.marketDistribution,0,*,BackboneElement
DeviceDefinition.udiDeviceIdentifier.marketDistribution.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.udiDeviceIdentifier.marketDistribution.extension,0,*,Extension
DeviceDefinition.udiDeviceIdentifier.marketDistribution.modifierExtension,0,*,Extension
DeviceDefinition.udiDeviceIdentifier.marketDistribution.marketPeriod,1,1,Period
DeviceDefinition.udiDeviceIdentifier.marketDistribution.subJurisdiction,1,1,uri
DeviceDefinition.regulatoryIdentifier,0,*,BackboneElement
DeviceDefinition.regulatoryIdentifier.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.regulatoryIdentifier.extension,0,*,Extension
DeviceDefinition.regulatoryIdentifier.modifierExtension,0,*,Extension
DeviceDefinition.regulatoryIdentifier.type,1,1,code
DeviceDefinition.regulatoryIdentifier.deviceIdentifier,1,1,string
DeviceDefinition.regulatoryIdentifier.issuer,1,1,uri
DeviceDefinition.regulatoryIdentifier.jurisdiction,1,1,uri
DeviceDefinition.partNumber,0,1,string
DeviceDefinition.manufacturer,0,1,Reference
DeviceDefinition.deviceName,0,*,BackboneElement
DeviceDefinition.deviceName.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.deviceName.extension,0,*,Extension
DeviceDefinition.deviceName.modifierExtension,0,*,Extension
DeviceDefinition.deviceName.name,1,1,string
DeviceDefinition.deviceName.type,1,1,code
DeviceDefinition.modelNumber,0,1,string
DeviceDefinition.classification,0,*,BackboneElement
DeviceDefinition.classification.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.classification.extension,0,*,Extension
DeviceDefinition.classification.modifierExtension,0,*,Extension
DeviceDefinition.classification.type,1,1,CodeableConcept
DeviceDefinition.classification.justification,0,*,RelatedArtifact
DeviceDefinition.conformsTo,0,*,BackboneElement
DeviceDefinition.conformsTo.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.conformsTo.extension,0,*,Extension
DeviceDefinition.conformsTo.modifierExtension,0,*,Extension
DeviceDefinition.conformsTo.category,0,1,CodeableConcept
DeviceDefinition.conformsTo.specification,1,1,CodeableConcept
DeviceDefinition.conformsTo.version,0,*,string
DeviceDefinition.conformsTo.source,0,*,RelatedArtifact
DeviceDefinition.hasPart,0,*,BackboneElement
DeviceDefinition.hasPart.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.hasPart.extension,0,*,Extension
DeviceDefinition.hasPart.modifierExtension,0,*,Extension
DeviceDefinition.hasPart.reference,1,1,Reference
DeviceDefinition.hasPart.count,0,1,integer
DeviceDefinition.packaging,0,*,BackboneElement
DeviceDefinition.packaging.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.packaging.extension,0,*,Extension
DeviceDefinition.packaging.modifierExtension,0,*,Extension
DeviceDefinition.packaging.identifier,0,1,Identifier
DeviceDefinition.packaging.type,0,1,CodeableConcept
DeviceDefinition.packaging.count,0,1,integer
DeviceDefinition.packaging.distributor,0,*,BackboneElement
DeviceDefinition.packaging.distributor.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.packaging.distributor.extension,0,*,Extension
DeviceDefinition.packaging.distributor.modifierExtension,0,*,Extension
DeviceDefinition.packaging.distributor.name,0,1,string
DeviceDefinition.packaging.distributor.organizationReference,0,*,Reference
DeviceDefinition.version,0,*,BackboneElement
DeviceDefinition.version.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.version.extension,0,*,Extension
DeviceDefinition.version.modifierExtension,0,*,Extension
DeviceDefinition.version.type,0,1,CodeableConcept
DeviceDefinition.version.component,0,1,Identifier
DeviceDefinition.version.value,1,1,string
DeviceDefinition.safety,0,*,CodeableConcept
DeviceDefinition.shelfLifeStorage,0,*,ProductShelfLife
DeviceDefinition.languageCode,0,*,CodeableConcept
DeviceDefinition.property,0,*,BackboneElement
DeviceDefinition.property.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.property.extension,0,*,Extension
DeviceDefinition.property.modifierExtension,0,*,Extension
DeviceDefinition.property.type,1,1,CodeableConcept
DeviceDefinition.property.value[x],1,1,Quantity;CodeableConcept;string;boolean;integer;Range;Attachment
DeviceDefinition.owner,0,1,Reference
DeviceDefinition.contact,0,*,ContactPoint
DeviceDefinition.link,0,*,BackboneElement
DeviceDefinition.link.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.link.extension,0,*,Extension
DeviceDefinition.link.modifierExtension,0,*,Extension
DeviceDefinition.link.relation,1,1,Coding
DeviceDefinition.link.relatedDevice,1,1,CodeableReference
DeviceDefinition.note,0,*,Annotation
DeviceDefinition.material,0,*,BackboneElement
DeviceDefinition.material.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.material.extension,0,*,Extension
DeviceDefinition.material.modifierExtension,0,*,Extension
DeviceDefinition.material.substance,1,1,CodeableConcept
DeviceDefinition.material.alternate,0,1,boolean
DeviceDefinition.material.allergenicIndicator,0,1,boolean
DeviceDefinition.productionIdentifierInUDI,0,*,code
DeviceDefinition.guideline,0,1,BackboneElement
DeviceDefinition.guideline.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.guideline.extension,0,*,Extension
DeviceDefinition.guideline.modifierExtension,0,*,Extension
DeviceDefinition.guideline.useContext,0,*,UsageContext
DeviceDefinition.guideline.usageInstruction,0,1,markdown
DeviceDefinition.guideline.relatedArtifact,0,*,RelatedArtifact
DeviceDefinition.guideline.indication,0,*,CodeableConcept
DeviceDefinition.guideline.contraindication,0,*,CodeableConcept
DeviceDefinition.guideline.warning,0,*,CodeableConcept
DeviceDefinition.guideline.intendedUse,0,1,string
DeviceDefinition.correctiveAction,0,1,BackboneElement
DeviceDefinition.correctiveAction.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.correctiveAction.extension,0,*,Extension
DeviceDefinition.correctiveAction.modifierExtension,0,*,Extension
DeviceDefinition.correctiveAction.recall,1,1,boolean
DeviceDefinition.correctiveAction.scope,0,1,code
DeviceDefinition.correctiveAction.period,1,1,Period
DeviceDefinition.chargeItem,0,*,BackboneElement
DeviceDefinition.chargeItem.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDefinition.chargeItem.extension,0,*,Extension
DeviceDefinition.chargeItem.modifierExtension,0,*,Extension
DeviceDefinition.chargeItem.chargeItemCode,1,1,CodeableReference
DeviceDefinition.chargeItem.count,1,1,Quantity
DeviceDefinition.chargeItem.effectivePeriod,0,1,Period
DeviceDefinition.chargeItem.useContext,0,*,UsageContext
