path,min,max,type
DeviceDispense.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDispense.meta,0,1,Meta
DeviceDispense.implicitRules,0,1,uri
DeviceDispense.language,0,1,code
DeviceDispense.text,0,1,Narrative
DeviceDispense.contained,0,*,Resource
DeviceDispense.extension,0,*,Extension
DeviceDispense.modifierExtension,0,*,Extension
DeviceDispense.identifier,0,*,Identifier
DeviceDispense.basedOn,0,*,Reference
DeviceDispense.partOf,0,*,Reference
DeviceDispense.status,1,1,code
DeviceDispense.statusReason,0,1,CodeableReference
DeviceDispense.category,0,*,CodeableConcept
DeviceDispense.device,1,1,CodeableReference
DeviceDispense.subject,1,1,Reference
DeviceDispense.encounter,0,1,Reference
DeviceDispense.supportingInformation,0,*,Reference
DeviceDispense.performer,0,*,BackboneElement
DeviceDispense.performer.id,0,1,http://hl7.org/fhirpath/System.String
DeviceDispense.performer.extension,0,*,Extension
DeviceDispense.performer.modifierExtension,0,*,Extension
DeviceDispense.performer.function,0,1,CodeableConcept
DeviceDispense.performer.actor,1,1,Reference
DeviceDispense.location,0,1,Reference
DeviceDispense.type,0,1,CodeableConcept
DeviceDispense.quantity,0,1,Quantity
DeviceDispense.preparedDate,0,1,dateTime
DeviceDispense.whenHandedOver,0,1,dateTime
DeviceDispense.destination,0,1,Reference
DeviceDispense.note,0,*,Annotation
DeviceDispense.usageInstruction,0,1,string
DeviceDispense.eventHistory,0,*,Reference
