path,min,max,type
DeviceMetric.id,0,1,http://hl7.org/fhirpath/System.String
DeviceMetric.meta,0,1,Meta
DeviceMetric.implicitRules,0,1,uri
DeviceMetric.language,0,1,code
DeviceMetric.text,0,1,Narrative
DeviceMetric.contained,0,*,Resource
DeviceMetric.extension,0,*,Extension
DeviceMetric.modifierExtension,0,*,Extension
DeviceMetric.identifier,0,*,Identifier
DeviceMetric.type,1,1,CodeableConcept
DeviceMetric.unit,0,1,CodeableConcept
DeviceMetric.device,1,1,Reference
DeviceMetric.operationalStatus,0,1,code
DeviceMetric.color,0,1,code
DeviceMetric.category,1,1,code
DeviceMetric.measurementFrequency,0,1,Quantity
DeviceMetric.calibration,0,*,BackboneElement
DeviceMetric.calibration.id,0,1,http://hl7.org/fhirpath/System.String
DeviceMetric.calibration.extension,0,*,Extension
DeviceMetric.calibration.modifierExtension,0,*,Extension
DeviceMetric.calibration.type,0,1,code
DeviceMetric.calibration.state,0,1,code
DeviceMetric.calibration.time,0,1,instant
