path,min,max,type
DeviceRequest.id,0,1,http://hl7.org/fhirpath/System.String
DeviceRequest.meta,0,1,Meta
DeviceRequest.implicitRules,0,1,uri
DeviceRequest.language,0,1,code
DeviceRequest.text,0,1,Narrative
DeviceRequest.contained,0,*,Resource
DeviceRequest.extension,0,*,Extension
DeviceRequest.modifierExtension,0,*,Extension
DeviceRequest.identifier,0,*,Identifier
DeviceRequest.instantiatesCanonical,0,*,canonical
DeviceRequest.instantiatesUri,0,*,uri
DeviceRequest.basedOn,0,*,Reference
DeviceRequest.replaces,0,*,Reference
DeviceRequest.groupIdentifier,0,1,Identifier
DeviceRequest.status,0,1,code
DeviceRequest.intent,1,1,code
DeviceRequest.priority,0,1,code
DeviceRequest.doNotPerform,0,1,boolean
DeviceRequest.code,1,1,CodeableReference
DeviceRequest.quantity,0,1,integer
DeviceRequest.parameter,0,*,BackboneElement
DeviceRequest.parameter.id,0,1,http://hl7.org/fhirpath/System.String
DeviceRequest.parameter.extension,0,*,Extension
DeviceRequest.parameter.modifierExtension,0,*,Extension
DeviceRequest.parameter.code,0,1,CodeableConcept
DeviceRequest.parameter.value[x],0,1,CodeableConcept;Quantity;Range;boolean
DeviceRequest.subject,1,1,Reference
DeviceRequest.encounter,0,1,Reference
DeviceRequest.occurrence[x],0,1,dateTime;Period;Timing
DeviceRequest.authoredOn,0,1,dateTime
DeviceRequest.requester,0,1,Reference
DeviceRequest.performer,0,1,CodeableReference
DeviceRequest.reason,0,*,CodeableReference
DeviceRequest.asNeeded,0,1,boolean
DeviceRequest.asNeededFor,0,1,CodeableConcept
DeviceRequest.insurance,0,*,Reference
DeviceRequest.supportingInfo,0,*,Reference
DeviceRequest.note,0,*,Annotation
DeviceRequest.relevantHistory,0,*,Reference
