path,min,max,type
DeviceUsage.id,0,1,http://hl7.org/fhirpath/System.String
DeviceUsage.meta,0,1,Meta
DeviceUsage.implicitRules,0,1,uri
DeviceUsage.language,0,1,code
DeviceUsage.text,0,1,Narrative
DeviceUsage.contained,0,*,Resource
DeviceUsage.extension,0,*,Extension
DeviceUsage.modifierExtension,0,*,Extension
DeviceUsage.identifier,0,*,Identifier
DeviceUsage.basedOn,0,*,Reference
DeviceUsage.status,1,1,code
DeviceUsage.category,0,*,CodeableConcept
DeviceUsage.patient,1,1,Reference
DeviceUsage.derivedFrom,0,*,Reference
DeviceUsage.context,0,1,Reference
DeviceUsage.timing[x],0,1,Timing;Period;dateTime
DeviceUsage.dateAsserted,0,1,dateTime
DeviceUsage.usageStatus,0,1,CodeableConcept
DeviceUsage.usageReason,0,*,CodeableConcept
DeviceUsage.adherence,0,1,BackboneElement
DeviceUsage.adherence.id,0,1,http://hl7.org/fhirpath/System.String
DeviceUsage.adherence.extension,0,*,Extension
DeviceUsage.adherence.modifierExtension,0,*,Extension
DeviceUsage.adherence.code,1,1,CodeableConcept
DeviceUsage.adherence.reason,1,*,CodeableConcept
DeviceUsage.informationSource,0,1,Reference
DeviceUsage.device,1,1,CodeableReference
DeviceUsage.reason,0,*,CodeableReference
DeviceUsage.bodySite,0,1,CodeableReference
DeviceUsage.note,0,*,Annotation
