path,min,max,type
DiagnosticReport.id,0,1,http://hl7.org/fhirpath/System.String
DiagnosticReport.meta,0,1,Meta
DiagnosticReport.implicitRules,0,1,uri
DiagnosticReport.language,0,1,code
DiagnosticReport.text,0,1,Narrative
DiagnosticReport.contained,0,*,Resource
DiagnosticReport.extension,0,*,Extension
DiagnosticReport.modifierExtension,0,*,Extension
DiagnosticReport.identifier,0,*,Identifier
DiagnosticReport.basedOn,0,*,Reference
DiagnosticReport.status,1,1,code
DiagnosticReport.category,0,*,CodeableConcept
DiagnosticReport.code,1,1,CodeableConcept
DiagnosticReport.subject,0,1,Reference
DiagnosticReport.encounter,0,1,Reference
DiagnosticReport.effective[x],0,1,dateTime;Period
DiagnosticReport.issued,0,1,instant
DiagnosticReport.performer,0,*,Reference
DiagnosticReport.resultsInterpreter,0,*,Reference
DiagnosticReport.specimen,0,*,Reference
DiagnosticReport.result,0,*,Reference
DiagnosticReport.note,0,*,Annotation
DiagnosticReport.study,0,*,Reference
DiagnosticReport.supportingInfo,0,*,BackboneElement
DiagnosticReport.supportingInfo.id,0,1,http://hl7.org/fhirpath/System.String
DiagnosticReport.supportingInfo.extension,0,*,Extension
DiagnosticReport.supportingInfo.modifierExtension,0,*,Extension
DiagnosticReport.supportingInfo.type,1,1,CodeableConcept
DiagnosticReport.supportingInfo.reference,1,1,Reference
DiagnosticReport.media,0,*,BackboneElement
DiagnosticReport.media.id,0,1,http://hl7.org/fhirpath/System.String
DiagnosticReport.media.extension,0,*,Extension
DiagnosticReport.media.modifierExtension,0,*,Extension
DiagnosticReport.media.comment,0,1,string
DiagnosticReport.media.link,1,1,Reference
DiagnosticReport.composition,0,1,Reference
DiagnosticReport.conclusion,0,1,markdown
DiagnosticReport.conclusionCode,0,*,CodeableConcept
DiagnosticReport.presentedForm,0,*,Attachment
