path,min,max,type
DocumentReference.id,0,1,http://hl7.org/fhirpath/System.String
DocumentReference.meta,0,1,Meta
DocumentReference.implicitRules,0,1,uri
DocumentReference.language,0,1,code
DocumentReference.text,0,1,Narrative
DocumentReference.contained,0,*,Resource
DocumentReference.extension,0,*,Extension
DocumentReference.modifierExtension,0,*,Extension
DocumentReference.identifier,0,*,Identifier
DocumentReference.version,0,1,string
DocumentReference.basedOn,0,*,Reference
DocumentReference.status,1,1,code
DocumentReference.docStatus,0,1,code
DocumentReference.modality,0,*,CodeableConcept
DocumentReference.type,0,1,CodeableConcept
DocumentReference.category,0,*,CodeableConcept
DocumentReference.subject,0,1,Reference
DocumentReference.context,0,*,Reference
DocumentReference.event,0,*,CodeableReference
DocumentReference.bodySite,0,*,CodeableReference
DocumentReference.facilityType,0,1,CodeableConcept
DocumentReference.practiceSetting,0,1,CodeableConcept
DocumentReference.period,0,1,Period
DocumentReference.date,0,1,instant
DocumentReference.author,0,*,Reference
DocumentReference.attester,0,*,BackboneElement
DocumentReference.attester.id,0,1,http://hl7.org/fhirpath/System.String
DocumentReference.attester.extension,0,*,Extension
DocumentReference.attester.modifierExtension,0,*,Extension
DocumentReference.attester.mode,1,1,CodeableConcept
DocumentReference.attester.time,0,1,dateTime
DocumentReference.attester.party,0,1,Reference
DocumentReference.custodian,0,1,Reference
DocumentReference.relatesTo,0,*,BackboneElement
DocumentReference.relatesTo.id,0,1,http://hl7.org/fhirpath/System.String
DocumentReference.relatesTo.extension,0,*,Extension
DocumentReference.relatesTo.modifierExtension,0,*,Extension
DocumentReference.relatesTo.code,1,1,CodeableConcept
DocumentReference.relatesTo.target,1,1,Reference
DocumentReference.description,0,1,markdown
DocumentReference.securityLabel,0,*,CodeableConcept
DocumentReference.content,1,*,BackboneElement
DocumentReference.content.id,0,1,http://hl7.org/fhirpath/System.String
DocumentReference.content.extension,0,*,Extension
DocumentReference.content.modifierExtension,0,*,Extension
DocumentReference.content.attachment,1,1,Attachment
DocumentReference.content.profile,0,*,BackboneElement
DocumentReference.content.profile.id,0,1,http://hl7.org/fhirpath/System.String
DocumentReference.content.profile.extension,0,*,Extension
DocumentReference.content.profile.modifierExtension,0,*,Extension
DocumentReference.content.profile.value[x],1,1,Coding;uri;canonical
