path,min,max,type
Encounter.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.meta,0,1,Meta
Encounter.implicitRules,0,1,uri
Encounter.language,0,1,code
Encounter.text,0,1,Narrative
Encounter.contained,0,*,Resource
Encounter.extension,0,*,Extension
Encounter.modifierExtension,0,*,Extension
Encounter.identifier,0,*,Identifier
Encounter.status,1,1,code
Encounter.class,0,*,CodeableConcept
Encounter.priority,0,1,CodeableConcept
Encounter.type,0,*,CodeableConcept
Encounter.serviceType,0,*,CodeableReference
Encounter.subject,0,1,Reference
Encounter.subjectStatus,0,1,CodeableConcept
Encounter.episodeOfCare,0,*,Reference
Encounter.basedOn,0,*,Reference
Encounter.careTeam,0,*,Reference
Encounter.partOf,0,1,Reference
Encounter.serviceProvider,0,1,Reference
Encounter.participant,0,*,BackboneElement
Encounter.participant.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.participant.extension,0,*,Extension
Encounter.participant.modifierExtension,0,*,Extension
Encounter.participant.type,0,*,CodeableConcept
Encounter.participant.period,0,1,Period
Encounter.participant.actor,0,1,Reference
Encounter.appointment,0,*,Reference
Encounter.virtualService,0,*,VirtualServiceDetail
Encounter.actualPeriod,0,1,Period
Encounter.plannedStartDate,0,1,dateTime
Encounter.plannedEndDate,0,1,dateTime
Encounter.length,0,1,Duration
Encounter.reason,0,*,BackboneElement
Encounter.reason.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.reason.extension,0,*,Extension
Encounter.reason.modifierExtension,0,*,Extension
Encounter.reason.use,0,1,CodeableConcept
Encounter.reason.value,0,*,CodeableReference
Encounter.diagnosis,0,*,BackboneElement
Encounter.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.diagnosis.extension,0,*,Extension
Encounter.diagnosis.modifierExtension,0,*,Extension
Encounter.diagnosis.condition,0,*,CodeableReference
Encounter.diagnosis.use,0,1,CodeableConcept
Encounter.account,0,*,Reference
Encounter.dietPreference,0,*,CodeableConcept
Encounter.specialArrangement,0,*,CodeableConcept
Encounter.specialCourtesy,0,*,CodeableConcept
Encounter.admission,0,1,BackboneElement
Encounter.admission.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.admission.extension,0,*,Extension
Encounter.admission.modifierExtension,0,*,Extension
Encounter.admission.preAdmissionIdentifier,0,1,Identifier
Encounter.admission.origin,0,1,Reference
Encounter.admission.admitSource,0,1,CodeableConcept
Encounter.admission.reAdmission,0,1,CodeableConcept
Encounter.admission.destination,0,1,Reference
Encounter.admission.dischargeDisposition,0,1,CodeableConcept
Encounter.location,0,*,BackboneElement
Encounter.location.id,0,1,http://hl7.org/fhirpath/System.String
Encounter.location.extension,0,*,Extension
Encounter.location.modifierExtension,0,*,Extension
Encounter.location.location,1,1,Reference
Encounter.location.status,0,1,code
Encounter.location.form,0,1,CodeableConcept
Encounter.location.period,0,1,Period
