path,min,max,type
EncounterHistory.id,0,1,http://hl7.org/fhirpath/System.String
EncounterHistory.meta,0,1,Meta
EncounterHistory.implicitRules,0,1,uri
EncounterHistory.language,0,1,code
EncounterHistory.text,0,1,Narrative
EncounterHistory.contained,0,*,Resource
EncounterHistory.extension,0,*,Extension
EncounterHistory.modifierExtension,0,*,Extension
EncounterHistory.encounter,0,1,Reference
EncounterHistory.identifier,0,*,Identifier
EncounterHistory.status,1,1,code
EncounterHistory.class,1,1,CodeableConcept
EncounterHistory.type,0,*,CodeableConcept
EncounterHistory.serviceType,0,*,CodeableReference
EncounterHistory.subject,0,1,Reference
EncounterHistory.subjectStatus,0,1,CodeableConcept
EncounterHistory.actualPeriod,0,1,Period
EncounterHistory.plannedStartDate,0,1,dateTime
EncounterHistory.plannedEndDate,0,1,dateTime
EncounterHistory.length,0,1,Duration
EncounterHistory.location,0,*,BackboneElement
EncounterHistory.location.id,0,1,http://hl7.org/fhirpath/System.String
EncounterHistory.location.extension,0,*,Extension
EncounterHistory.location.modifierExtension,0,*,Extension
EncounterHistory.location.location,1,1,Reference
EncounterHistory.location.form,0,1,CodeableConcept
