path,min,max,type
Endpoint.id,0,1,http://hl7.org/fhirpath/System.String
Endpoint.meta,0,1,Meta
Endpoint.implicitRules,0,1,uri
Endpoint.language,0,1,code
Endpoint.text,0,1,Narrative
Endpoint.contained,0,*,Resource
Endpoint.extension,0,*,Extension
Endpoint.modifierExtension,0,*,Extension
Endpoint.identifier,0,*,Identifier
Endpoint.status,1,1,code
Endpoint.connectionType,1,*,CodeableConcept
Endpoint.name,0,1,string
Endpoint.description,0,1,string
Endpoint.environmentType,0,*,CodeableConcept
Endpoint.managingOrganization,0,1,Reference
Endpoint.contact,0,*,ContactPoint
Endpoint.period,0,1,Period
Endpoint.payload,0,*,BackboneElement
Endpoint.payload.id,0,1,http://hl7.org/fhirpath/System.String
Endpoint.payload.extension,0,*,Extension
Endpoint.payload.modifierExtension,0,*,Extension
Endpoint.payload.type,0,*,CodeableConcept
Endpoint.payload.mimeType,0,*,code
Endpoint.address,1,1,url
Endpoint.header,0,*,string
