path,min,max,type
EpisodeOfCare.id,0,1,http://hl7.org/fhirpath/System.String
EpisodeOfCare.meta,0,1,Meta
EpisodeOfCare.implicitRules,0,1,uri
EpisodeOfCare.language,0,1,code
EpisodeOfCare.text,0,1,Narrative
EpisodeOfCare.contained,0,*,Resource
EpisodeOfCare.extension,0,*,Extension
EpisodeOfCare.modifierExtension,0,*,Extension
EpisodeOfCare.identifier,0,*,Identifier
EpisodeOfCare.status,1,1,code
EpisodeOfCare.statusHistory,0,*,BackboneElement
EpisodeOfCare.statusHistory.id,0,1,http://hl7.org/fhirpath/System.String
EpisodeOfCare.statusHistory.extension,0,*,Extension
EpisodeOfCare.statusHistory.modifierExtension,0,*,Extension
EpisodeOfCare.statusHistory.status,1,1,code
EpisodeOfCare.statusHistory.period,1,1,Period
EpisodeOfCare.type,0,*,CodeableConcept
EpisodeOfCare.reason,0,*,BackboneElement
EpisodeOfCare.reason.id,0,1,http://hl7.org/fhirpath/System.String
EpisodeOfCare.reason.extension,0,*,Extension
EpisodeOfCare.reason.modifierExtension,0,*,Extension
EpisodeOfCare.reason.use,0,1,CodeableConcept
EpisodeOfCare.reason.value,0,*,CodeableReference
EpisodeOfCare.diagnosis,0,*,BackboneElement
EpisodeOfCare.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
EpisodeOfCare.diagnosis.extension,0,*,Extension
EpisodeOfCare.diagnosis.modifierExtension,0,*,Extension
EpisodeOfCare.diagnosis.condition,0,*,CodeableReference
EpisodeOfCare.diagnosis.use,0,1,CodeableConcept
EpisodeOfCare.patient,1,1,Reference
EpisodeOfCare.managingOrganization,0,1,Reference
EpisodeOfCare.period,0,1,Period
EpisodeOfCare.referralRequest,0,*,Reference
EpisodeOfCare.careManager,0,1,Reference
EpisodeOfCare.careTeam,0,*,Reference
EpisodeOfCare.account,0,*,Reference
