path,min,max,type
EventDefinition.id,0,1,http://hl7.org/fhirpath/System.String
EventDefinition.meta,0,1,Meta
EventDefinition.implicitRules,0,1,uri
EventDefinition.language,0,1,code
EventDefinition.text,0,1,Narrative
EventDefinition.contained,0,*,Resource
EventDefinition.extension,0,*,Extension
EventDefinition.modifierExtension,0,*,Extension
EventDefinition.url,0,1,uri
EventDefinition.identifier,0,*,Identifier
EventDefinition.version,0,1,string
EventDefinition.versionAlgorithm[x],0,1,string;Coding
EventDefinition.name,0,1,string
EventDefinition.title,0,1,string
EventDefinition.subtitle,0,1,string
EventDefinition.status,1,1,code
EventDefinition.experimental,0,1,boolean
EventDefinition.subject[x],0,1,CodeableConcept;Reference
EventDefinition.date,0,1,dateTime
EventDefinition.publisher,0,1,string
EventDefinition.contact,0,*,ContactDetail
EventDefinition.description,0,1,markdown
EventDefinition.useContext,0,*,UsageContext
EventDefinition.jurisdiction,0,*,CodeableConcept
EventDefinition.purpose,0,1,markdown
EventDefinition.usage,0,1,markdown
EventDefinition.copyright,0,1,markdown
EventDefinition.copyrightLabel,0,1,string
EventDefinition.approvalDate,0,1,date
EventDefinition.lastReviewDate,0,1,date
EventDefinition.effectivePeriod,0,1,Period
EventDefinition.topic,0,*,CodeableConcept
EventDefinition.author,0,*,ContactDetail
EventDefinition.editor,0,*,ContactDetail
EventDefinition.reviewer,0,*,ContactDetail
EventDefinition.endorser,0,*,ContactDetail
EventDefinition.relatedArtifact,0,*,RelatedArtifact
EventDefinition.trigger,1,*,TriggerDefinition
