path,min,max,type
Evidence.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.meta,0,1,Meta
Evidence.implicitRules,0,1,uri
Evidence.language,0,1,code
Evidence.text,0,1,Narrative
Evidence.contained,0,*,Resource
Evidence.extension,0,*,Extension
Evidence.modifierExtension,0,*,Extension
Evidence.url,0,1,uri
Evidence.identifier,0,*,Identifier
Evidence.version,0,1,string
Evidence.versionAlgorithm[x],0,1,string;Coding
Evidence.name,0,1,string
Evidence.title,0,1,string
Evidence.citeAs[x],0,1,Reference;markdown
Evidence.status,1,1,code
Evidence.experimental,0,1,boolean
Evidence.date,0,1,dateTime
Evidence.approvalDate,0,1,date
Evidence.lastReviewDate,0,1,date
Evidence.publisher,0,1,string
Evidence.contact,0,*,ContactDetail
Evidence.author,0,*,ContactDetail
Evidence.editor,0,*,ContactDetail
Evidence.reviewer,0,*,ContactDetail
Evidence.endorser,0,*,ContactDetail
Evidence.useContext,0,*,UsageContext
Evidence.purpose,0,1,markdown
Evidence.copyright,0,1,markdown
Evidence.copyrightLabel,0,1,string
Evidence.relatedArtifact,0,*,RelatedArtifact
Evidence.description,0,1,markdown
Evidence.assertion,0,1,markdown
Evidence.note,0,*,Annotation
Evidence.variableDefinition,1,*,BackboneElement
Evidence.variableDefinition.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.variableDefinition.extension,0,*,Extension
Evidence.variableDefinition.modifierExtension,0,*,Extension
Evidence.variableDefinition.description,0,1,markdown
Evidence.variableDefinition.note,0,*,Annotation
Evidence.variableDefinition.variableRole,1,1,CodeableConcept
Evidence.variableDefinition.observed,0,1,Reference
Evidence.variableDefinition.intended,0,1,Reference
Evidence.variableDefinition.directnessMatch,0,1,CodeableConcept
Evidence.synthesisType,0,1,CodeableConcept
Evidence.studyDesign,0,*,CodeableConcept
Evidence.statistic,0,*,BackboneElement
Evidence.statistic.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.statistic.extension,0,*,Extension
Evidence.statistic.modifierExtension,0,*,Extension
Evidence.statistic.description,0,1,string
Evidence.statistic.note,0,*,Annotation
Evidence.statistic.statisticType,0,1,CodeableConcept
Evidence.statistic.category,0,1,CodeableConcept
Evidence.statistic.quantity,0,1,Quantity
Evidence.statistic.numberOfEvents,0,1,unsignedInt
Evidence.statistic.numberAffected,0,1,unsignedInt
Evidence.statistic.sampleSize,0,1,BackboneElement
Evidence.statistic.sampleSize.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.statistic.sampleSize.extension,0,*,Extension
Evidence.statistic.sampleSize.modifierExtension,0,*,Extension
Evidence.statistic.sampleSize.description,0,1,string
Evidence.statistic.sampleSize.note,0,*,Annotation
Evidence.statistic.sampleSize.numberOfStudies,0,1,unsignedInt
Evidence.statistic.sampleSize.numberOfParticipants,0,1,unsignedInt
Evidence.statistic.sampleSize.knownDataCount,0,1,unsignedInt
Evidence.statistic.attributeEstimate,0,*,BackboneElement
Evidence.statistic.attributeEstimate.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.statistic.attributeEstimate.extension,0,*,Extension
Evidence.statistic.attributeEstimate.modifierExtension,0,*,Extension
Evidence.statistic.attributeEstimate.description,0,1,string
Evidence.statistic.attributeEstimate.note,0,*,Annotation
Evidence.statistic.attributeEstimate.type,0,1,CodeableConcept
Evidence.statistic.attributeEstimate.quantity,0,1,Quantity
Evidence.statistic.attributeEstimate.level,0,1,decimal
Evidence.statistic.attributeEstimate.range,0,1,Range
Evidence.statistic.modelCharacteristic,0,*,BackboneElement
Evidence.statistic.modelCharacteristic.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.statistic.modelCharacteristic.extension,0,*,Extension
Evidence.statistic.modelCharacteristic.modifierExtension,0,*,Extension
Evidence.statistic.modelCharacteristic.code,1,1,CodeableConcept
Evidence.statistic.modelCharacteristic.value,0,1,Quantity
Evidence.statistic.modelCharacteristic.variable,0,*,BackboneElement
Evidence.statistic.modelCharacteristic.variable.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.statistic.modelCharacteristic.variable.extension,0,*,Extension
Evidence.statistic.modelCharacteristic.variable.modifierExtension,0,*,Extension
Evidence.statistic.modelCharacteristic.variable.variableDefinition,1,1,Reference
Evidence.statistic.modelCharacteristic.variable.handling,0,1,code
Evidence.statistic.modelCharacteristic.variable.valueCategory,0,*,CodeableConcept
Evidence.statistic.modelCharacteristic.variable.valueQuantity,0,*,Quantity
Evidence.statistic.modelCharacteristic.variable.valueRange,0,*,Range
Evidence.certainty,0,*,BackboneElement
Evidence.certainty.id,0,1,http://hl7.org/fhirpath/System.String
Evidence.certainty.extension,0,*,Extension
Evidence.certainty.modifierExtension,0,*,Extension
Evidence.certainty.description,0,1,string
Evidence.certainty.note,0,*,Annotation
Evidence.certainty.type,0,1,CodeableConcept
Evidence.certainty.rating,0,1,CodeableConcept
Evidence.certainty.rater,0,1,string
