path,min,max,type
EvidenceReport.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.meta,0,1,Meta
EvidenceReport.implicitRules,0,1,uri
EvidenceReport.language,0,1,code
EvidenceReport.text,0,1,Narrative
EvidenceReport.contained,0,*,Resource
EvidenceReport.extension,0,*,Extension
EvidenceReport.modifierExtension,0,*,Extension
EvidenceReport.url,0,1,uri
EvidenceReport.status,1,1,code
EvidenceReport.useContext,0,*,UsageContext
EvidenceReport.identifier,0,*,Identifier
EvidenceReport.relatedIdentifier,0,*,Identifier
EvidenceReport.citeAs[x],0,1,Reference;markdown
EvidenceReport.type,0,1,CodeableConcept
EvidenceReport.note,0,*,Annotation
EvidenceReport.relatedArtifact,0,*,RelatedArtifact
EvidenceReport.subject,1,1,BackboneElement
EvidenceReport.subject.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.subject.extension,0,*,Extension
EvidenceReport.subject.modifierExtension,0,*,Extension
EvidenceReport.subject.characteristic,0,*,BackboneElement
EvidenceReport.subject.characteristic.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.subject.characteristic.extension,0,*,Extension
EvidenceReport.subject.characteristic.modifierExtension,0,*,Extension
EvidenceReport.subject.characteristic.code,1,1,CodeableConcept
EvidenceReport.subject.characteristic.value[x],1,1,Reference;CodeableConcept;boolean;Quantity;Range
EvidenceReport.subject.characteristic.exclude,0,1,boolean
EvidenceReport.subject.characteristic.period,0,1,Period
EvidenceReport.subject.note,0,*,Annotation
EvidenceReport.publisher,0,1,string
EvidenceReport.contact,0,*,ContactDetail
EvidenceReport.author,0,*,ContactDetail
EvidenceReport.editor,0,*,ContactDetail
EvidenceReport.reviewer,0,*,ContactDetail
EvidenceReport.endorser,0,*,ContactDetail
EvidenceReport.relatesTo,0,*,BackboneElement
EvidenceReport.relatesTo.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.relatesTo.extension,0,*,Extension
EvidenceReport.relatesTo.modifierExtension,0,*,Extension
EvidenceReport.relatesTo.code,1,1,code
EvidenceReport.relatesTo.target,1,1,BackboneElement
EvidenceReport.relatesTo.target.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.relatesTo.target.extension,0,*,Extension
EvidenceReport.relatesTo.target.modifierExtension,0,*,Extension
EvidenceReport.relatesTo.target.url,0,1,uri
EvidenceReport.relatesTo.target.identifier,0,1,Identifier
EvidenceReport.relatesTo.target.display,0,1,markdown
EvidenceReport.relatesTo.target.resource,0,1,Reference
EvidenceReport.section,0,*,BackboneElement
EvidenceReport.section.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceReport.section.extension,0,*,Extension
EvidenceReport.section.modifierExtension,0,*,Extension
EvidenceReport.section.title,0,1,string
EvidenceReport.section.focus,0,1,CodeableConcept
EvidenceReport.section.focusReference,0,1,Reference
EvidenceReport.section.author,0,*,Reference
EvidenceReport.section.text,0,1,Narrative
EvidenceReport.section.mode,0,1,code
EvidenceReport.section.orderedBy,0,1,CodeableConcept
EvidenceReport.section.entryClassifier,0,*,CodeableConcept
EvidenceReport.section.entryReference,0,*,Reference
EvidenceReport.section.entryQuantity,0,*,Quantity
EvidenceReport.section.emptyReason,0,1,CodeableConcept
