path,min,max,type
EvidenceVariable.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.meta,0,1,Meta
EvidenceVariable.implicitRules,0,1,uri
EvidenceVariable.language,0,1,code
EvidenceVariable.text,0,1,Narrative
EvidenceVariable.contained,0,*,Resource
EvidenceVariable.extension,0,*,Extension
EvidenceVariable.modifierExtension,0,*,Extension
EvidenceVariable.url,0,1,uri
EvidenceVariable.identifier,0,*,Identifier
EvidenceVariable.version,0,1,string
EvidenceVariable.versionAlgorithm[x],0,1,string;Coding
EvidenceVariable.name,0,1,string
EvidenceVariable.title,0,1,string
EvidenceVariable.shortTitle,0,1,string
EvidenceVariable.status,1,1,code
EvidenceVariable.experimental,0,1,boolean
EvidenceVariable.date,0,1,dateTime
EvidenceVariable.publisher,0,1,string
EvidenceVariable.contact,0,*,ContactDetail
EvidenceVariable.description,0,1,markdown
EvidenceVariable.note,0,*,Annotation
EvidenceVariable.useContext,0,*,UsageContext
EvidenceVariable.purpose,0,1,markdown
EvidenceVariable.copyright,0,1,markdown
EvidenceVariable.copyrightLabel,0,1,string
EvidenceVariable.approvalDate,0,1,date
EvidenceVariable.lastReviewDate,0,1,date
EvidenceVariable.effectivePeriod,0,1,Period
EvidenceVariable.author,0,*,ContactDetail
EvidenceVariable.editor,0,*,ContactDetail
EvidenceVariable.reviewer,0,*,ContactDetail
EvidenceVariable.endorser,0,*,ContactDetail
EvidenceVariable.relatedArtifact,0,*,RelatedArtifact
EvidenceVariable.actual,0,1,boolean
EvidenceVariable.characteristic,0,*,BackboneElement
EvidenceVariable.characteristic.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.characteristic.extension,0,*,Extension
EvidenceVariable.characteristic.modifierExtension,0,*,Extension
EvidenceVariable.characteristic.linkId,0,1,id
EvidenceVariable.characteristic.description,0,1,string
EvidenceVariable.characteristic.note,0,*,Annotation
EvidenceVariable.characteristic.exclude,0,1,boolean
EvidenceVariable.characteristic.definitionReference,0,1,Reference
EvidenceVariable.characteristic.definitionCanonical,0,1,canonical
EvidenceVariable.characteristic.definitionCodeableConcept,0,1,CodeableConcept
EvidenceVariable.characteristic.definitionExpression,0,1,Expression
EvidenceVariable.characteristic.definitionId,0,1,id
EvidenceVariable.characteristic.definitionByTypeAndValue,0,1,BackboneElement
EvidenceVariable.characteristic.definitionByTypeAndValue.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.characteristic.definitionByTypeAndValue.extension,0,*,Extension
EvidenceVariable.characteristic.definitionByTypeAndValue.modifierExtension,0,*,Extension
EvidenceVariable.characteristic.definitionByTypeAndValue.type,1,1,CodeableConcept
EvidenceVariable.characteristic.definitionByTypeAndValue.method,0,*,CodeableConcept
EvidenceVariable.characteristic.definitionByTypeAndValue.device,0,1,Reference
EvidenceVariable.characteristic.definitionByTypeAndValue.value[x],1,1,CodeableConcept;boolean;Quantity;Range;Reference;id
EvidenceVariable.characteristic.definitionByTypeAndValue.offset,0,1,CodeableConcept
EvidenceVariable.characteristic.definitionByCombination,0,1,BackboneElement
EvidenceVariable.characteristic.definitionByCombination.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.characteristic.definitionByCombination.extension,0,*,Extension
EvidenceVariable.characteristic.definitionByCombination.modifierExtension,0,*,Extension
EvidenceVariable.characteristic.definitionByCombination.code,1,1,code
EvidenceVariable.characteristic.definitionByCombination.threshold,0,1,positiveInt
EvidenceVariable.characteristic.instances[x],0,1,Quantity;Range
EvidenceVariable.characteristic.duration[x],0,1,Quantity;Range
EvidenceVariable.characteristic.timeFromEvent,0,*,BackboneElement
EvidenceVariable.characteristic.timeFromEvent.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.characteristic.timeFromEvent.extension,0,*,Extension
EvidenceVariable.characteristic.timeFromEvent.modifierExtension,0,*,Extension
EvidenceVariable.characteristic.timeFromEvent.description,0,1,string
EvidenceVariable.characteristic.timeFromEvent.note,0,*,Annotation
EvidenceVariable.characteristic.timeFromEvent.event[x],0,1,CodeableConcept;Reference;dateTime;id
EvidenceVariable.characteristic.timeFromEvent.quantity,0,1,Quantity
EvidenceVariable.characteristic.timeFromEvent.range,0,1,Range
EvidenceVariable.handling,0,1,code
EvidenceVariable.category,0,*,BackboneElement
EvidenceVariable.category.id,0,1,http://hl7.org/fhirpath/System.String
EvidenceVariable.category.extension,0,*,Extension
EvidenceVariable.category.modifierExtension,0,*,Extension
EvidenceVariable.category.name,0,1,string
EvidenceVariable.category.value[x],0,1,CodeableConcept;Quantity;Range
