path,min,max,type
ExampleScenario.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.meta,0,1,Meta
ExampleScenario.implicitRules,0,1,uri
ExampleScenario.language,0,1,code
ExampleScenario.text,0,1,Narrative
ExampleScenario.contained,0,*,Resource
ExampleScenario.extension,0,*,Extension
ExampleScenario.modifierExtension,0,*,Extension
ExampleScenario.url,0,1,uri
ExampleScenario.identifier,0,*,Identifier
ExampleScenario.version,0,1,string
ExampleScenario.versionAlgorithm[x],0,1,string;Coding
ExampleScenario.name,0,1,string
ExampleScenario.title,0,1,string
ExampleScenario.status,1,1,code
ExampleScenario.experimental,0,1,boolean
ExampleScenario.date,0,1,dateTime
ExampleScenario.publisher,0,1,string
ExampleScenario.contact,0,*,ContactDetail
ExampleScenario.description,0,1,markdown
ExampleScenario.useContext,0,*,UsageContext
ExampleScenario.jurisdiction,0,*,CodeableConcept
ExampleScenario.purpose,0,1,markdown
ExampleScenario.copyright,0,1,markdown
ExampleScenario.copyrightLabel,0,1,string
ExampleScenario.actor,0,*,BackboneElement
ExampleScenario.actor.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.actor.extension,0,*,Extension
ExampleScenario.actor.modifierExtension,0,*,Extension
ExampleScenario.actor.key,1,1,string
ExampleScenario.actor.type,1,1,code
ExampleScenario.actor.title,1,1,string
ExampleScenario.actor.description,0,1,markdown
ExampleScenario.instance,0,*,BackboneElement
ExampleScenario.instance.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.instance.extension,0,*,Extension
ExampleScenario.instance.modifierExtension,0,*,Extension
ExampleScenario.instance.key,1,1,string
ExampleScenario.instance.structureType,1,1,Coding
ExampleScenario.instance.structureVersion,0,1,string
ExampleScenario.instance.structureProfile[x],0,1,canonical;uri
ExampleScenario.instance.title,1,1,string
ExampleScenario.instance.description,0,1,markdown
ExampleScenario.instance.content,0,1,Reference
ExampleScenario.instance.version,0,*,BackboneElement
ExampleScenario.instance.version.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.instance.version.extension,0,*,Extension
ExampleScenario.instance.version.modifierExtension,0,*,Extension
ExampleScenario.instance.version.key,1,1,string
ExampleScenario.instance.version.title,1,1,string
ExampleScenario.instance.version.description,0,1,markdown
ExampleScenario.instance.version.content,0,1,Reference
ExampleScenario.instance.containedInstance,0,*,BackboneElement
ExampleScenario.instance.containedInstance.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.instance.containedInstance.extension,0,*,Extension
ExampleScenario.instance.containedInstance.modifierExtension,0,*,Extension
ExampleScenario.instance.containedInstance.instanceReference,1,1,string
ExampleScenario.instance.containedInstance.versionReference,0,1,string
ExampleScenario.process,0,*,BackboneElement
ExampleScenario.process.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.process.extension,0,*,Extension
ExampleScenario.process.modifierExtension,0,*,Extension
ExampleScenario.process.title,1,1,string
ExampleScenario.process.description,0,1,markdown
ExampleScenario.process.preConditions,0,1,markdown
ExampleScenario.process.postConditions,0,1,markdown
ExampleScenario.process.step,0,*,BackboneElement
ExampleScenario.process.step.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.process.step.extension,0,*,Extension
ExampleScenario.process.step.modifierExtension,0,*,Extension
ExampleScenario.process.step.number,0,1,string
ExampleScenario.process.step.workflow,0,1,canonical
ExampleScenario.process.step.operation,0,1,BackboneElement
ExampleScenario.process.step.operation.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.process.step.operation.extension,0,*,Extension
ExampleScenario.process.step.operation.modifierExtension,0,*,Extension
ExampleScenario.process.step.operation.type,0,1,Coding
ExampleScenario.process.step.operation.title,1,1,string
ExampleScenario.process.step.operation.initiator,0,1,string
ExampleScenario.process.step.operation.receiver,0,1,string
ExampleScenario.process.step.operation.description,0,1,markdown
ExampleScenario.process.step.operation.initiatorActive,0,1,boolean
ExampleScenario.process.step.operation.receiverActive,0,1,boolean
ExampleScenario.process.step.alternative,0,*,BackboneElement
ExampleScenario.process.step.alternative.id,0,1,http://hl7.org/fhirpath/System.String
ExampleScenario.process.step.alternative.extension,0,*,Extension
ExampleScenario.process.step.alternative.modifierExtension,0,*,Extension
ExampleScenario.process.step.alternative.title,1,1,string
ExampleScenario.process.step.alternative.description,0,1,markdown
ExampleScenario.process.step.pause,0,1,boolean
