path,min,max,type
ExplanationOfBenefit.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.meta,0,1,Meta
ExplanationOfBenefit.implicitRules,0,1,uri
ExplanationOfBenefit.language,0,1,code
ExplanationOfBenefit.text,0,1,Narrative
ExplanationOfBenefit.contained,0,*,Resource
ExplanationOfBenefit.extension,0,*,Extension
ExplanationOfBenefit.modifierExtension,0,*,Extension
ExplanationOfBenefit.identifier,0,*,Identifier
ExplanationOfBenefit.traceNumber,0,*,Identifier
ExplanationOfBenefit.status,1,1,code
ExplanationOfBenefit.type,1,1,CodeableConcept
ExplanationOfBenefit.subType,0,1,CodeableConcept
ExplanationOfBenefit.use,1,1,code
ExplanationOfBenefit.patient,1,1,Reference
ExplanationOfBenefit.billablePeriod,0,1,Period
ExplanationOfBenefit.created,1,1,dateTime
ExplanationOfBenefit.enterer,0,1,Reference
ExplanationOfBenefit.insurer,0,1,Reference
ExplanationOfBenefit.provider,0,1,Reference
ExplanationOfBenefit.priority,0,1,CodeableConcept
ExplanationOfBenefit.fundsReserveRequested,0,1,CodeableConcept
ExplanationOfBenefit.fundsReserve,0,1,CodeableConcept
ExplanationOfBenefit.related,0,*,BackboneElement
ExplanationOfBenefit.related.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.related.extension,0,*,Extension
ExplanationOfBenefit.related.modifierExtension,0,*,Extension
ExplanationOfBenefit.related.claim,0,1,Reference
ExplanationOfBenefit.related.relationship,0,1,CodeableConcept
ExplanationOfBenefit.related.reference,0,1,Identifier
ExplanationOfBenefit.prescription,0,1,Reference
ExplanationOfBenefit.originalPrescription,0,1,Reference
ExplanationOfBenefit.payee,0,1,BackboneElement
ExplanationOfBenefit.payee.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.payee.extension,0,*,Extension
ExplanationOfBenefit.payee.modifierExtension,0,*,Extension
ExplanationOfBenefit.payee.type,0,1,CodeableConcept
ExplanationOfBenefit.payee.party,0,1,Reference
ExplanationOfBenefit.referral,0,1,Reference
ExplanationOfBenefit.encounter,0,*,Reference
ExplanationOfBenefit.facility,0,1,Reference
ExplanationOfBenefit.claim,0,1,Reference
ExplanationOfBenefit.claimResponse,0,1,Reference
ExplanationOfBenefit.outcome,1,1,code
ExplanationOfBenefit.decision,0,1,CodeableConcept
ExplanationOfBenefit.disposition,0,1,string
ExplanationOfBenefit.preAuthRef,0,*,string
ExplanationOfBenefit.preAuthRefPeriod,0,*,Period
ExplanationOfBenefit.diagnosisRelatedGroup,0,1,CodeableConcept
ExplanationOfBenefit.careTeam,0,*,BackboneElement
ExplanationOfBenefit.careTeam.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.careTeam.extension,0,*,Extension
ExplanationOfBenefit.careTeam.modifierExtension,0,*,Extension
ExplanationOfBenefit.careTeam.sequence,1,1,positiveInt
ExplanationOfBenefit.careTeam.provider,1,1,Reference
ExplanationOfBenefit.careTeam.responsible,0,1,boolean
ExplanationOfBenefit.careTeam.role,0,1,CodeableConcept
ExplanationOfBenefit.careTeam.specialty,0,1,CodeableConcept
ExplanationOfBenefit.supportingInfo,0,*,BackboneElement
ExplanationOfBenefit.supportingInfo.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.supportingInfo.extension,0,*,Extension
ExplanationOfBenefit.supportingInfo.modifierExtension,0,*,Extension
ExplanationOfBenefit.supportingInfo.sequence,1,1,positiveInt
ExplanationOfBenefit.supportingInfo.category,1,1,CodeableConcept
ExplanationOfBenefit.supportingInfo.code,0,1,CodeableConcept
ExplanationOfBenefit.supportingInfo.timing[x],0,1,date;Period
ExplanationOfBenefit.supportingInfo.value[x],0,1,boolean;string;Quantity;Attachment;Reference;Identifier
ExplanationOfBenefit.supportingInfo.reason,0,1,Coding
ExplanationOfBenefit.diagnosis,0,*,BackboneElement
ExplanationOfBenefit.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.diagnosis.extension,0,*,Extension
ExplanationOfBenefit.diagnosis.modifierExtension,0,*,Extension
ExplanationOfBenefit.diagnosis.sequence,1,1,positiveInt
ExplanationOfBenefit.diagnosis.diagnosis[x],1,1,CodeableConcept;Reference
ExplanationOfBenefit.diagnosis.type,0,*,CodeableConcept
ExplanationOfBenefit.diagnosis.onAdmission,0,1,CodeableConcept
ExplanationOfBenefit.procedure,0,*,BackboneElement
ExplanationOfBenefit.procedure.id,0,1,http://hl7.org/fhirpath/System.String
ExplanationOfBenefit.procedure.extension,0,*,Extension
ExplanationOfBenefit.procedure.modifierExtension,0,*,Extension
ExplanationOfBenefit.procedure.sequence,1,1,positiveInt
ExplanationOfBenefit.procedure.type,0,*,CodeableConcept
ExplanationOfBenefit.procedure.date,0,1,dateTime
ExplanationOfBenefit.procedure.procedure[x],1,1,CodeableConcept;Reference
ExplanationOfBenefit.procedure.udi,0,*,Reference
ExplanationOfBenefit.precedence,0,1,positiveInt
ExplanationOfBenefit.insurance,0,*,BackboneElement
