path,min,max,type
FamilyMemberHistory.id,0,1,http://hl7.org/fhirpath/System.String
FamilyMemberHistory.meta,0,1,Meta
FamilyMemberHistory.implicitRules,0,1,uri
FamilyMemberHistory.language,0,1,code
FamilyMemberHistory.text,0,1,Narrative
FamilyMemberHistory.contained,0,*,Resource
FamilyMemberHistory.extension,0,*,Extension
FamilyMemberHistory.modifierExtension,0,*,Extension
FamilyMemberHistory.identifier,0,*,Identifier
FamilyMemberHistory.instantiatesCanonical,0,*,canonical
FamilyMemberHistory.instantiatesUri,0,*,uri
FamilyMemberHistory.status,1,1,code
FamilyMemberHistory.dataAbsentReason,0,1,CodeableConcept
FamilyMemberHistory.patient,1,1,Reference
FamilyMemberHistory.date,0,1,dateTime
FamilyMemberHistory.participant,0,*,BackboneElement
FamilyMemberHistory.participant.id,0,1,http://hl7.org/fhirpath/System.String
FamilyMemberHistory.participant.extension,0,*,Extension
FamilyMemberHistory.participant.modifierExtension,0,*,Extension
FamilyMemberHistory.participant.function,0,1,CodeableConcept
FamilyMemberHistory.participant.actor,1,1,Reference
FamilyMemberHistory.name,0,1,string
FamilyMemberHistory.relationship,1,1,CodeableConcept
FamilyMemberHistory.sex,0,1,CodeableConcept
FamilyMemberHistory.born[x],0,1,Period;date;string
FamilyMemberHistory.age[x],0,1,Age;Range;string
FamilyMemberHistory.estimatedAge,0,1,boolean
FamilyMemberHistory.deceased[x],0,1,boolean;Age;Range;date;string
FamilyMemberHistory.reason,0,*,CodeableReference
FamilyMemberHistory.note,0,*,Annotation
FamilyMemberHistory.condition,0,*,BackboneElement
FamilyMemberHistory.condition.id,0,1,http://hl7.org/fhirpath/System.String
FamilyMemberHistory.condition.extension,0,*,Extension
FamilyMemberHistory.condition.modifierExtension,0,*,Extension
FamilyMemberHistory.condition.code,1,1,CodeableConcept
FamilyMemberHistory.condition.outcome,0,1,CodeableConcept
FamilyMemberHistory.condition.contributedToDeath,0,1,boolean
FamilyMemberHistory.condition.onset[x],0,1,Age;Range;Period;string
FamilyMemberHistory.condition.note,0,*,Annotation
FamilyMemberHistory.procedure,0,*,BackboneElement
FamilyMemberHistory.procedure.id,0,1,http://hl7.org/fhirpath/System.String
FamilyMemberHistory.procedure.extension,0,*,Extension
FamilyMemberHistory.procedure.modifierExtension,0,*,Extension
FamilyMemberHistory.procedure.code,1,1,CodeableConcept
FamilyMemberHistory.procedure.outcome,0,1,CodeableConcept
FamilyMemberHistory.procedure.contributedToDeath,0,1,boolean
FamilyMemberHistory.procedure.performed[x],0,1,Age;Range;Period;string;dateTime
FamilyMemberHistory.procedure.note,0,*,Annotation
