path,min,max,type
GenomicStudy.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.meta,0,1,Meta
GenomicStudy.implicitRules,0,1,uri
GenomicStudy.language,0,1,code
GenomicStudy.text,0,1,Narrative
GenomicStudy.contained,0,*,Resource
GenomicStudy.extension,0,*,Extension
GenomicStudy.modifierExtension,0,*,Extension
GenomicStudy.identifier,0,*,Identifier
GenomicStudy.status,1,1,code
GenomicStudy.type,0,*,CodeableConcept
GenomicStudy.subject,1,1,Reference
GenomicStudy.encounter,0,1,Reference
GenomicStudy.startDate,0,1,dateTime
GenomicStudy.basedOn,0,*,Reference
GenomicStudy.referrer,0,1,Reference
GenomicStudy.interpreter,0,*,Reference
GenomicStudy.reason,0,*,CodeableReference
GenomicStudy.instantiatesCanonical,0,1,canonical
GenomicStudy.instantiatesUri,0,1,uri
GenomicStudy.note,0,*,Annotation
GenomicStudy.description,0,1,markdown
GenomicStudy.analysis,0,*,BackboneElement
GenomicStudy.analysis.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.analysis.extension,0,*,Extension
GenomicStudy.analysis.modifierExtension,0,*,Extension
GenomicStudy.analysis.identifier,0,*,Identifier
GenomicStudy.analysis.methodType,0,*,CodeableConcept
GenomicStudy.analysis.changeType,0,*,CodeableConcept
GenomicStudy.analysis.genomeBuild,0,1,CodeableConcept
GenomicStudy.analysis.instantiatesCanonical,0,1,canonical
GenomicStudy.analysis.instantiatesUri,0,1,uri
GenomicStudy.analysis.title,0,1,string
GenomicStudy.analysis.focus,0,1,Reference
GenomicStudy.analysis.specimen,0,*,Reference
GenomicStudy.analysis.date,0,1,dateTime
GenomicStudy.analysis.note,0,*,Annotation
GenomicStudy.analysis.protocolPerformed,0,1,Reference
GenomicStudy.analysis.regionsStudied,0,*,Reference
GenomicStudy.analysis.regionsCalled,0,*,Reference
GenomicStudy.analysis.input,0,*,BackboneElement
GenomicStudy.analysis.input.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.analysis.input.extension,0,*,Extension
GenomicStudy.analysis.input.modifierExtension,0,*,Extension
GenomicStudy.analysis.input.file,0,1,Reference
GenomicStudy.analysis.input.type,0,1,CodeableConcept
GenomicStudy.analysis.input.generatedBy[x],0,1,Identifier;Reference
GenomicStudy.analysis.output,0,*,BackboneElement
GenomicStudy.analysis.output.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.analysis.output.extension,0,*,Extension
GenomicStudy.analysis.output.modifierExtension,0,*,Extension
GenomicStudy.analysis.output.file,0,1,Reference
GenomicStudy.analysis.output.type,0,1,CodeableConcept
GenomicStudy.analysis.performer,0,*,BackboneElement
GenomicStudy.analysis.performer.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.analysis.performer.extension,0,*,Extension
GenomicStudy.analysis.performer.modifierExtension,0,*,Extension
GenomicStudy.analysis.performer.actor,0,1,Reference
GenomicStudy.analysis.performer.role,0,1,CodeableConcept
GenomicStudy.analysis.device,0,*,BackboneElement
GenomicStudy.analysis.device.id,0,1,http://hl7.org/fhirpath/System.String
GenomicStudy.analysis.device.extension,0,*,Extension
GenomicStudy.analysis.device.modifierExtension,0,*,Extension
GenomicStudy.analysis.device.device,0,1,Reference
GenomicStudy.analysis.device.function,0,1,CodeableConcept
