path,min,max,type
Goal.id,0,1,http://hl7.org/fhirpath/System.String
Goal.meta,0,1,Meta
Goal.implicitRules,0,1,uri
Goal.language,0,1,code
Goal.text,0,1,Narrative
Goal.contained,0,*,Resource
Goal.extension,0,*,Extension
Goal.modifierExtension,0,*,Extension
Goal.identifier,0,*,Identifier
Goal.lifecycleStatus,1,1,code
Goal.achievementStatus,0,1,CodeableConcept
Goal.category,0,*,CodeableConcept
Goal.continuous,0,1,boolean
Goal.priority,0,1,CodeableConcept
Goal.description,1,1,CodeableConcept
Goal.subject,1,1,Reference
Goal.start[x],0,1,date;CodeableConcept
Goal.target,0,*,BackboneElement
Goal.target.id,0,1,http://hl7.org/fhirpath/System.String
Goal.target.extension,0,*,Extension
Goal.target.modifierExtension,0,*,Extension
Goal.target.measure,0,1,CodeableConcept
Goal.target.detail[x],0,1,Quantity;Range;CodeableConcept;string;boolean;integer;Ratio
Goal.target.due[x],0,1,date;Duration
Goal.statusDate,0,1,date
Goal.statusReason,0,1,string
Goal.source,0,1,Reference
Goal.addresses,0,*,Reference
Goal.note,0,*,Annotation
Goal.outcome,0,*,CodeableReference
