path,min,max,type
GraphDefinition.id,0,1,http://hl7.org/fhirpath/System.String
GraphDefinition.meta,0,1,Meta
GraphDefinition.implicitRules,0,1,uri
GraphDefinition.language,0,1,code
GraphDefinition.text,0,1,Narrative
GraphDefinition.contained,0,*,Resource
GraphDefinition.extension,0,*,Extension
GraphDefinition.modifierExtension,0,*,Extension
GraphDefinition.url,0,1,uri
GraphDefinition.version,0,1,string
GraphDefinition.versionAlgorithm[x],0,1,string;Coding
GraphDefinition.name,1,1,string
GraphDefinition.title,0,1,string
GraphDefinition.status,1,1,code
GraphDefinition.experimental,0,1,boolean
GraphDefinition.date,0,1,dateTime
GraphDefinition.publisher,0,1,string
GraphDefinition.contact,0,*,ContactDetail
GraphDefinition.description,0,1,markdown
GraphDefinition.useContext,0,*,UsageContext
GraphDefinition.jurisdiction,0,*,CodeableConcept
GraphDefinition.purpose,0,1,markdown
GraphDefinition.start,0,1,id
GraphDefinition.node,0,*,BackboneElement
GraphDefinition.node.id,0,1,http://hl7.org/fhirpath/System.String
GraphDefinition.node.extension,0,*,Extension
GraphDefinition.node.modifierExtension,0,*,Extension
GraphDefinition.node.nodeId,1,1,id
GraphDefinition.node.description,0,1,string
GraphDefinition.node.type,1,1,code
GraphDefinition.node.profile,0,1,canonical
GraphDefinition.link,0,*,BackboneElement
GraphDefinition.link.id,0,1,http://hl7.org/fhirpath/System.String
GraphDefinition.link.extension,0,*,Extension
GraphDefinition.link.modifierExtension,0,*,Extension
GraphDefinition.link.description,0,1,string
GraphDefinition.link.min,0,1,integer
GraphDefinition.link.max,0,1,string
GraphDefinition.link.sourceId,1,1,id
GraphDefinition.link.path,0,1,string
GraphDefinition.link.sliceName,0,1,string
GraphDefinition.link.targetId,1,1,id
GraphDefinition.link.params,0,1,string
GraphDefinition.link.compartment,0,*,BackboneElement
GraphDefinition.link.compartment.id,0,1,http://hl7.org/fhirpath/System.String
GraphDefinition.link.compartment.extension,0,*,Extension
GraphDefinition.link.compartment.modifierExtension,0,*,Extension
GraphDefinition.link.compartment.use,1,1,code
GraphDefinition.link.compartment.rule,1,1,code
GraphDefinition.link.compartment.code,1,1,code
GraphDefinition.link.compartment.expression,0,1,string
GraphDefinition.link.compartment.description,0,1,string
