path,min,max,type
Group.id,0,1,http://hl7.org/fhirpath/System.String
Group.meta,0,1,Meta
Group.implicitRules,0,1,uri
Group.language,0,1,code
Group.text,0,1,Narrative
Group.contained,0,*,Resource
Group.extension,0,*,Extension
Group.modifierExtension,0,*,Extension
Group.identifier,0,*,Identifier
Group.active,0,1,boolean
Group.type,1,1,code
Group.membership,1,1,code
Group.code,0,1,CodeableConcept
Group.name,0,1,string
Group.description,0,1,markdown
Group.quantity,0,1,unsignedInt
Group.managingEntity,0,1,Reference
Group.characteristic,0,*,BackboneElement
Group.characteristic.id,0,1,http://hl7.org/fhirpath/System.String
Group.characteristic.extension,0,*,Extension
Group.characteristic.modifierExtension,0,*,Extension
Group.characteristic.code,1,1,CodeableConcept
Group.characteristic.value[x],1,1,CodeableConcept;boolean;Quantity;Range;Reference
Group.characteristic.exclude,1,1,boolean
Group.characteristic.period,0,1,Period
Group.member,0,*,BackboneElement
Group.member.id,0,1,http://hl7.org/fhirpath/System.String
Group.member.extension,0,*,Extension
Group.member.modifierExtension,0,*,Extension
Group.member.entity,1,1,Reference
Group.member.period,0,1,Period
Group.member.inactive,0,1,boolean
