path,min,max,type
HealthcareService.id,0,1,http://hl7.org/fhirpath/System.String
HealthcareService.meta,0,1,Meta
HealthcareService.implicitRules,0,1,uri
HealthcareService.language,0,1,code
HealthcareService.text,0,1,Narrative
HealthcareService.contained,0,*,Resource
HealthcareService.extension,0,*,Extension
HealthcareService.modifierExtension,0,*,Extension
HealthcareService.identifier,0,*,Identifier
HealthcareService.active,0,1,boolean
HealthcareService.providedBy,0,1,Reference
HealthcareService.offeredIn,0,*,Reference
HealthcareService.category,0,*,CodeableConcept
HealthcareService.type,0,*,CodeableConcept
HealthcareService.specialty,0,*,CodeableConcept
HealthcareService.location,0,*,Reference
HealthcareService.name,0,1,string
HealthcareService.comment,0,1,markdown
HealthcareService.extraDetails,0,1,markdown
HealthcareService.photo,0,1,Attachment
HealthcareService.contact,0,*,ExtendedContactDetail
HealthcareService.coverageArea,0,*,Reference
HealthcareService.serviceProvisionCode,0,*,CodeableConcept
HealthcareService.eligibility,0,*,BackboneElement
HealthcareService.eligibility.id,0,1,http://hl7.org/fhirpath/System.String
HealthcareService.eligibility.extension,0,*,Extension
HealthcareService.eligibility.modifierExtension,0,*,Extension
HealthcareService.eligibility.code,0,1,CodeableConcept
HealthcareService.eligibility.comment,0,1,markdown
HealthcareService.program,0,*,CodeableConcept
HealthcareService.characteristic,0,*,CodeableConcept
HealthcareService.communication,0,*,CodeableConcept
HealthcareService.referralMethod,0,*,CodeableConcept
HealthcareService.appointmentRequired,0,1,boolean
HealthcareService.availability,0,*,Availability
HealthcareService.endpoint,0,*,Reference
