path,min,max,type
ImagingSelection.id,0,1,http://hl7.org/fhirpath/System.String
ImagingSelection.meta,0,1,Meta
ImagingSelection.implicitRules,0,1,uri
ImagingSelection.language,0,1,code
ImagingSelection.text,0,1,Narrative
ImagingSelection.contained,0,*,Resource
ImagingSelection.extension,0,*,Extension
ImagingSelection.modifierExtension,0,*,Extension
ImagingSelection.identifier,0,*,Identifier
ImagingSelection.status,1,1,code
ImagingSelection.subject,0,1,Reference
ImagingSelection.issued,0,1,instant
ImagingSelection.performer,0,*,BackboneElement
ImagingSelection.performer.id,0,1,http://hl7.org/fhirpath/System.String
ImagingSelection.performer.extension,0,*,Extension
ImagingSelection.performer.modifierExtension,0,*,Extension
ImagingSelection.performer.function,0,1,CodeableConcept
ImagingSelection.performer.actor,0,1,Reference
ImagingSelection.basedOn,0,*,Reference
ImagingSelection.category,0,*,CodeableConcept
ImagingSelection.code,1,1,CodeableConcept
ImagingSelection.studyUid,0,1,id
ImagingSelection.derivedFrom,0,*,Reference
ImagingSelection.endpoint,0,*,Reference
ImagingSelection.seriesUid,0,1,id
ImagingSelection.seriesNumber,0,1,unsignedInt
ImagingSelection.frameOfReferenceUid,0,1,id
ImagingSelection.bodySite,0,1,CodeableReference
ImagingSelection.focus,0,*,Reference
ImagingSelection.instance,0,*,BackboneElement
ImagingSelection.instance.id,0,1,http://hl7.org/fhirpath/System.String
ImagingSelection.instance.extension,0,*,Extension
ImagingSelection.instance.modifierExtension,0,*,Extension
ImagingSelection.instance.uid,1,1,id
ImagingSelection.instance.number,0,1,unsignedInt
ImagingSelection.instance.sopClass,0,1,Coding
ImagingSelection.instance.subset,0,*,string
ImagingSelection.instance.imageRegion2D,0,*,BackboneElement
ImagingSelection.instance.imageRegion2D.id,0,1,http://hl7.org/fhirpath/System.String
ImagingSelection.instance.imageRegion2D.extension,0,*,Extension
ImagingSelection.instance.imageRegion2D.modifierExtension,0,*,Extension
ImagingSelection.instance.imageRegion2D.regionType,1,1,code
ImagingSelection.instance.imageRegion2D.coordinate,1,*,decimal
ImagingSelection.instance.imageRegion3D,0,*,BackboneElement
ImagingSelection.instance.imageRegion3D.id,0,1,http://hl7.org/fhirpath/System.String
ImagingSelection.instance.imageRegion3D.extension,0,*,Extension
ImagingSelection.instance.imageRegion3D.modifierExtension,0,*,Extension
ImagingSelection.instance.imageRegion3D.regionType,1,1,code
ImagingSelection.instance.imageRegion3D.coordinate,1,*,decimal
