path,min,max,type
ImagingStudy.id,0,1,http://hl7.org/fhirpath/System.String
ImagingStudy.meta,0,1,Meta
ImagingStudy.implicitRules,0,1,uri
ImagingStudy.language,0,1,code
ImagingStudy.text,0,1,Narrative
ImagingStudy.contained,0,*,Resource
ImagingStudy.extension,0,*,Extension
ImagingStudy.modifierExtension,0,*,Extension
ImagingStudy.identifier,0,*,Identifier
ImagingStudy.status,1,1,code
ImagingStudy.modality,0,*,CodeableConcept
ImagingStudy.subject,1,1,Reference
ImagingStudy.encounter,0,1,Reference
ImagingStudy.started,0,1,dateTime
ImagingStudy.basedOn,0,*,Reference
ImagingStudy.partOf,0,*,Reference
ImagingStudy.referrer,0,1,Reference
ImagingStudy.endpoint,0,*,Reference
ImagingStudy.numberOfSeries,0,1,unsignedInt
ImagingStudy.numberOfInstances,0,1,unsignedInt
ImagingStudy.procedure,0,*,CodeableReference
ImagingStudy.location,0,1,Reference
ImagingStudy.reason,0,*,CodeableReference
ImagingStudy.note,0,*,Annotation
ImagingStudy.description,0,1,string
ImagingStudy.series,0,*,BackboneElement
ImagingStudy.series.id,0,1,http://hl7.org/fhirpath/System.String
ImagingStudy.series.extension,0,*,Extension
ImagingStudy.series.modifierExtension,0,*,Extension
ImagingStudy.series.uid,1,1,id
ImagingStudy.series.number,0,1,unsignedInt
ImagingStudy.series.modality,1,1,CodeableConcept
ImagingStudy.series.description,0,1,string
ImagingStudy.series.numberOfInstances,0,1,unsignedInt
ImagingStudy.series.endpoint,0,*,Reference
ImagingStudy.series.bodySite,0,1,CodeableReference
ImagingStudy.series.laterality,0,1,CodeableConcept
ImagingStudy.series.specimen,0,*,Reference
ImagingStudy.series.started,0,1,dateTime
ImagingStudy.series.performer,0,*,BackboneElement
ImagingStudy.series.performer.id,0,1,http://hl7.org/fhirpath/System.String
ImagingStudy.series.performer.extension,0,*,Extension
ImagingStudy.series.performer.modifierExtension,0,*,Extension
ImagingStudy.series.performer.function,0,1,CodeableConcept
ImagingStudy.series.performer.actor,1,1,Reference
ImagingStudy.series.instance,0,*,BackboneElement
ImagingStudy.series.instance.id,0,1,http://hl7.org/fhirpath/System.String
ImagingStudy.series.instance.extension,0,*,Extension
ImagingStudy.series.instance.modifierExtension,0,*,Extension
ImagingStudy.series.instance.uid,1,1,id
ImagingStudy.series.instance.sopClass,1,1,Coding
ImagingStudy.series.instance.number,0,1,unsignedInt
ImagingStudy.series.instance.title,0,1,string
