path,min,max,type
Immunization.id,0,1,http://hl7.org/fhirpath/System.String
Immunization.meta,0,1,Meta
Immunization.implicitRules,0,1,uri
Immunization.language,0,1,code
Immunization.text,0,1,Narrative
Immunization.contained,0,*,Resource
Immunization.extension,0,*,Extension
Immunization.modifierExtension,0,*,Extension
Immunization.identifier,0,*,Identifier
Immunization.basedOn,0,*,Reference
Immunization.status,1,1,code
Immunization.statusReason,0,1,CodeableConcept
Immunization.vaccineCode,1,1,CodeableConcept
Immunization.administeredProduct,0,1,CodeableReference
Immunization.manufacturer,0,1,CodeableReference
Immunization.lotNumber,0,1,string
Immunization.expirationDate,0,1,date
Immunization.patient,1,1,Reference
Immunization.encounter,0,1,Reference
Immunization.supportingInformation,0,*,Reference
Immunization.occurrence[x],1,1,dateTime;string
Immunization.primarySource,0,1,boolean
Immunization.informationSource,0,1,CodeableReference
Immunization.location,0,1,Reference
Immunization.site,0,1,CodeableConcept
Immunization.route,0,1,CodeableConcept
Immunization.doseQuantity,0,1,Quantity
Immunization.performer,0,*,BackboneElement
Immunization.performer.id,0,1,http://hl7.org/fhirpath/System.String
Immunization.performer.extension,0,*,Extension
Immunization.performer.modifierExtension,0,*,Extension
Immunization.performer.function,0,1,CodeableConcept
Immunization.performer.actor,1,1,Reference
Immunization.note,0,*,Annotation
Immunization.reason,0,*,CodeableReference
Immunization.isSubpotent,0,1,boolean
Immunization.subpotentReason,0,*,CodeableConcept
Immunization.programEligibility,0,*,BackboneElement
Immunization.programEligibility.id,0,1,http://hl7.org/fhirpath/System.String
Immunization.programEligibility.extension,0,*,Extension
Immunization.programEligibility.modifierExtension,0,*,Extension
Immunization.programEligibility.program,1,1,CodeableConcept
Immunization.programEligibility.programStatus,1,1,CodeableConcept
Immunization.fundingSource,0,1,CodeableConcept
Immunization.reaction,0,*,BackboneElement
Immunization.reaction.id,0,1,http://hl7.org/fhirpath/System.String
Immunization.reaction.extension,0,*,Extension
Immunization.reaction.modifierExtension,0,*,Extension
Immunization.reaction.date,0,1,dateTime
Immunization.reaction.manifestation,0,1,CodeableReference
Immunization.reaction.reported,0,1,boolean
Immunization.protocolApplied,0,*,BackboneElement
Immunization.protocolApplied.id,0,1,http://hl7.org/fhirpath/System.String
Immunization.protocolApplied.extension,0,*,Extension
Immunization.protocolApplied.modifierExtension,0,*,Extension
Immunization.protocolApplied.series,0,1,string
Immunization.protocolApplied.authority,0,1,Reference
Immunization.protocolApplied.targetDisease,0,*,CodeableConcept
Immunization.protocolApplied.doseNumber,1,1,string
Immunization.protocolApplied.seriesDoses,0,1,string
