path,min,max,type
ImmunizationEvaluation.id,0,1,http://hl7.org/fhirpath/System.String
ImmunizationEvaluation.meta,0,1,Meta
ImmunizationEvaluation.implicitRules,0,1,uri
ImmunizationEvaluation.language,0,1,code
ImmunizationEvaluation.text,0,1,Narrative
ImmunizationEvaluation.contained,0,*,Resource
ImmunizationEvaluation.extension,0,*,Extension
ImmunizationEvaluation.modifierExtension,0,*,Extension
ImmunizationEvaluation.identifier,0,*,Identifier
ImmunizationEvaluation.status,1,1,code
ImmunizationEvaluation.patient,1,1,Reference
ImmunizationEvaluation.date,0,1,dateTime
ImmunizationEvaluation.authority,0,1,Reference
ImmunizationEvaluation.targetDisease,1,1,CodeableConcept
ImmunizationEvaluation.immunizationEvent,1,1,Reference
ImmunizationEvaluation.doseStatus,1,1,CodeableConcept
ImmunizationEvaluation.doseStatusReason,0,*,CodeableConcept
ImmunizationEvaluation.description,0,1,markdown
ImmunizationEvaluation.series,0,1,string
ImmunizationEvaluation.doseNumber,0,1,string
ImmunizationEvaluation.seriesDoses,0,1,string
