path,min,max,type
ImmunizationRecommendation.id,0,1,http://hl7.org/fhirpath/System.String
ImmunizationRecommendation.meta,0,1,Meta
ImmunizationRecommendation.implicitRules,0,1,uri
ImmunizationRecommendation.language,0,1,code
ImmunizationRecommendation.text,0,1,Narrative
ImmunizationRecommendation.contained,0,*,Resource
ImmunizationRecommendation.extension,0,*,Extension
ImmunizationRecommendation.modifierExtension,0,*,Extension
ImmunizationRecommendation.identifier,0,*,Identifier
ImmunizationRecommendation.patient,1,1,Reference
ImmunizationRecommendation.date,1,1,dateTime
ImmunizationRecommendation.authority,0,1,Reference
ImmunizationRecommendation.recommendation,1,*,BackboneElement
ImmunizationRecommendation.recommendation.id,0,1,http://hl7.org/fhirpath/System.String
ImmunizationRecommendation.recommendation.extension,0,*,Extension
ImmunizationRecommendation.recommendation.modifierExtension,0,*,Extension
ImmunizationRecommendation.recommendation.vaccineCode,0,*,CodeableConcept
ImmunizationRecommendation.recommendation.targetDisease,0,*,CodeableConcept
ImmunizationRecommendation.recommendation.contraindicatedVaccineCode,0,*,CodeableConcept
ImmunizationRecommendation.recommendation.forecastStatus,1,1,CodeableConcept
ImmunizationRecommendation.recommendation.forecastReason,0,*,CodeableConcept
ImmunizationRecommendation.recommendation.dateCriterion,0,*,BackboneElement
ImmunizationRecommendation.recommendation.dateCriterion.id,0,1,http://hl7.org/fhirpath/System.String
ImmunizationRecommendation.recommendation.dateCriterion.extension,0,*,Extension
ImmunizationRecommendation.recommendation.dateCriterion.modifierExtension,0,*,Extension
ImmunizationRecommendation.recommendation.dateCriterion.code,1,1,CodeableConcept
ImmunizationRecommendation.recommendation.dateCriterion.value,1,1,dateTime
ImmunizationRecommendation.recommendation.description,0,1,markdown
ImmunizationRecommendation.recommendation.series,0,1,string
ImmunizationRecommendation.recommendation.doseNumber,0,1,string
ImmunizationRecommendation.recommendation.seriesDoses,0,1,string
ImmunizationRecommendation.recommendation.supportingImmunization,0,*,Reference
ImmunizationRecommendation.recommendation.supportingPatientInformation,0,*,Reference
