path,min,max,type
ImplementationGuide.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.meta,0,1,Meta
ImplementationGuide.implicitRules,0,1,uri
ImplementationGuide.language,0,1,code
ImplementationGuide.text,0,1,Narrative
ImplementationGuide.contained,0,*,Resource
ImplementationGuide.extension,0,*,Extension
ImplementationGuide.modifierExtension,0,*,Extension
ImplementationGuide.url,1,1,uri
ImplementationGuide.version,0,1,string
ImplementationGuide.versionAlgorithm[x],0,1,string;Coding
ImplementationGuide.name,1,1,string
ImplementationGuide.title,0,1,string
ImplementationGuide.status,1,1,code
ImplementationGuide.experimental,0,1,boolean
ImplementationGuide.date,0,1,dateTime
ImplementationGuide.publisher,0,1,string
ImplementationGuide.contact,0,*,ContactDetail
ImplementationGuide.description,0,1,markdown
ImplementationGuide.useContext,0,*,UsageContext
ImplementationGuide.jurisdiction,0,*,CodeableConcept
ImplementationGuide.copyright,0,1,markdown
ImplementationGuide.copyrightLabel,0,1,string
ImplementationGuide.packageId,1,1,id
ImplementationGuide.license,0,1,code
ImplementationGuide.fhirVersion,1,*,code
ImplementationGuide.dependsOn,0,*,BackboneElement
ImplementationGuide.dependsOn.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.dependsOn.extension,0,*,Extension
ImplementationGuide.dependsOn.modifierExtension,0,*,Extension
ImplementationGuide.dependsOn.uri,1,1,canonical
ImplementationGuide.dependsOn.packageId,0,1,id
ImplementationGuide.dependsOn.version,0,1,string
ImplementationGuide.dependsOn.reason,0,1,markdown
ImplementationGuide.global,0,*,BackboneElement
ImplementationGuide.global.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.global.extension,0,*,Extension
ImplementationGuide.global.modifierExtension,0,*,Extension
ImplementationGuide.global.type,1,1,code
ImplementationGuide.global.profile,1,1,canonical
ImplementationGuide.definition,0,1,BackboneElement
ImplementationGuide.definition.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.extension,0,*,Extension
ImplementationGuide.definition.modifierExtension,0,*,Extension
ImplementationGuide.definition.grouping,0,*,BackboneElement
ImplementationGuide.definition.grouping.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.grouping.extension,0,*,Extension
ImplementationGuide.definition.grouping.modifierExtension,0,*,Extension
ImplementationGuide.definition.grouping.name,1,1,string
ImplementationGuide.definition.grouping.description,0,1,markdown
ImplementationGuide.definition.resource,0,*,BackboneElement
ImplementationGuide.definition.resource.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.resource.extension,0,*,Extension
ImplementationGuide.definition.resource.modifierExtension,0,*,Extension
ImplementationGuide.definition.resource.reference,1,1,Reference
ImplementationGuide.definition.resource.fhirVersion,0,*,code
ImplementationGuide.definition.resource.name,0,1,string
ImplementationGuide.definition.resource.description,0,1,markdown
ImplementationGuide.definition.resource.isExample,0,1,boolean
ImplementationGuide.definition.resource.profile,0,*,canonical
ImplementationGuide.definition.resource.groupingId,0,1,id
ImplementationGuide.definition.page,0,1,BackboneElement
ImplementationGuide.definition.page.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.page.extension,0,*,Extension
ImplementationGuide.definition.page.modifierExtension,0,*,Extension
ImplementationGuide.definition.page.source[x],0,1,url;string;markdown
ImplementationGuide.definition.page.name,1,1,url
ImplementationGuide.definition.page.title,1,1,string
ImplementationGuide.definition.page.generation,1,1,code
ImplementationGuide.definition.parameter,0,*,BackboneElement
ImplementationGuide.definition.parameter.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.parameter.extension,0,*,Extension
ImplementationGuide.definition.parameter.modifierExtension,0,*,Extension
ImplementationGuide.definition.parameter.code,1,1,Coding
ImplementationGuide.definition.parameter.value,1,1,string
ImplementationGuide.definition.template,0,*,BackboneElement
ImplementationGuide.definition.template.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.definition.template.extension,0,*,Extension
ImplementationGuide.definition.template.modifierExtension,0,*,Extension
ImplementationGuide.definition.template.code,1,1,code
ImplementationGuide.definition.template.source,1,1,string
ImplementationGuide.definition.template.scope,0,1,string
ImplementationGuide.manifest,0,1,BackboneElement
ImplementationGuide.manifest.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.manifest.extension,0,*,Extension
ImplementationGuide.manifest.modifierExtension,0,*,Extension
ImplementationGuide.manifest.rendering,0,1,url
ImplementationGuide.manifest.resource,1,*,BackboneElement
ImplementationGuide.manifest.resource.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.manifest.resource.extension,0,*,Extension
ImplementationGuide.manifest.resource.modifierExtension,0,*,Extension
ImplementationGuide.manifest.resource.reference,1,1,Reference
ImplementationGuide.manifest.resource.isExample,0,1,boolean
ImplementationGuide.manifest.resource.profile,0,*,canonical
ImplementationGuide.manifest.resource.relativePath,0,1,url
ImplementationGuide.manifest.page,0,*,BackboneElement
ImplementationGuide.manifest.page.id,0,1,http://hl7.org/fhirpath/System.String
ImplementationGuide.manifest.page.extension,0,*,Extension
ImplementationGuide.manifest.page.modifierExtension,0,*,Extension
ImplementationGuide.manifest.page.name,1,1,string
ImplementationGuide.manifest.page.title,0,1,string
ImplementationGuide.manifest.page.anchor,0,*,string
ImplementationGuide.manifest.image,0,*,string
ImplementationGuide.manifest.other,0,*,string
