path,min,max,type
Ingredient.id,0,1,http://hl7.org/fhirpath/System.String
Ingredient.meta,0,1,Meta
Ingredient.implicitRules,0,1,uri
Ingredient.language,0,1,code
Ingredient.text,0,1,Narrative
Ingredient.contained,0,*,Resource
Ingredient.extension,0,*,Extension
Ingredient.modifierExtension,0,*,Extension
Ingredient.identifier,0,1,Identifier
Ingredient.status,1,1,code
Ingredient.for,0,*,Reference
Ingredient.role,1,1,CodeableConcept
Ingredient.function,0,*,CodeableConcept
Ingredient.group,0,1,CodeableConcept
Ingredient.allergenicIndicator,0,1,boolean
Ingredient.comment,0,1,markdown
Ingredient.manufacturer,0,*,BackboneElement
Ingredient.manufacturer.id,0,1,http://hl7.org/fhirpath/System.String
Ingredient.manufacturer.extension,0,*,Extension
Ingredient.manufacturer.modifierExtension,0,*,Extension
Ingredient.manufacturer.role,0,1,code
Ingredient.manufacturer.manufacturer,1,1,Reference
Ingredient.substance,1,1,BackboneElement
Ingredient.substance.id,0,1,http://hl7.org/fhirpath/System.String
Ingredient.substance.extension,0,*,Extension
Ingredient.substance.modifierExtension,0,*,Extension
Ingredient.substance.code,1,1,CodeableReference
Ingredient.substance.strength,0,*,BackboneElement
Ingredient.substance.strength.id,0,1,http://hl7.org/fhirpath/System.String
Ingredient.substance.strength.extension,0,*,Extension
Ingredient.substance.strength.modifierExtension,0,*,Extension
Ingredient.substance.strength.presentation[x],0,1,Ratio;RatioRange;CodeableConcept;Quantity
Ingredient.substance.strength.textPresentation,0,1,string
Ingredient.substance.strength.concentration[x],0,1,Ratio;RatioRange;CodeableConcept;Quantity
Ingredient.substance.strength.textConcentration,0,1,string
Ingredient.substance.strength.basis,0,1,CodeableConcept
Ingredient.substance.strength.measurementPoint,0,1,string
Ingredient.substance.strength.country,0,*,CodeableConcept
Ingredient.substance.strength.referenceStrength,0,*,BackboneElement
Ingredient.substance.strength.referenceStrength.id,0,1,http://hl7.org/fhirpath/System.String
Ingredient.substance.strength.referenceStrength.extension,0,*,Extension
Ingredient.substance.strength.referenceStrength.modifierExtension,0,*,Extension
Ingredient.substance.strength.referenceStrength.substance,1,1,CodeableReference
Ingredient.substance.strength.referenceStrength.strength[x],1,1,Ratio;RatioRange;Quantity
Ingredient.substance.strength.referenceStrength.measurementPoint,0,1,string
Ingredient.substance.strength.referenceStrength.country,0,*,CodeableConcept
