path,min,max,type
InsurancePlan.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.meta,0,1,Meta
InsurancePlan.implicitRules,0,1,uri
InsurancePlan.language,0,1,code
InsurancePlan.text,0,1,Narrative
InsurancePlan.contained,0,*,Resource
InsurancePlan.extension,0,*,Extension
InsurancePlan.modifierExtension,0,*,Extension
InsurancePlan.identifier,0,*,Identifier
InsurancePlan.status,0,1,code
InsurancePlan.type,0,*,CodeableConcept
InsurancePlan.name,0,1,string
InsurancePlan.alias,0,*,string
InsurancePlan.period,0,1,Period
InsurancePlan.ownedBy,0,1,Reference
InsurancePlan.administeredBy,0,1,Reference
InsurancePlan.coverageArea,0,*,Reference
InsurancePlan.contact,0,*,ExtendedContactDetail
InsurancePlan.endpoint,0,*,Reference
InsurancePlan.network,0,*,Reference
InsurancePlan.coverage,0,*,BackboneElement
InsurancePlan.coverage.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.coverage.extension,0,*,Extension
InsurancePlan.coverage.modifierExtension,0,*,Extension
InsurancePlan.coverage.type,1,1,CodeableConcept
InsurancePlan.coverage.network,0,*,Reference
InsurancePlan.coverage.benefit,1,*,BackboneElement
InsurancePlan.coverage.benefit.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.coverage.benefit.extension,0,*,Extension
InsurancePlan.coverage.benefit.modifierExtension,0,*,Extension
InsurancePlan.coverage.benefit.type,1,1,CodeableConcept
InsurancePlan.coverage.benefit.requirement,0,1,string
InsurancePlan.coverage.benefit.limit,0,*,BackboneElement
InsurancePlan.coverage.benefit.limit.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.coverage.benefit.limit.extension,0,*,Extension
InsurancePlan.coverage.benefit.limit.modifierExtension,0,*,Extension
InsurancePlan.coverage.benefit.limit.value,0,1,Quantity
InsurancePlan.coverage.benefit.limit.code,0,1,CodeableConcept
InsurancePlan.plan,0,*,BackboneElement
InsurancePlan.plan.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.plan.extension,0,*,Extension
InsurancePlan.plan.modifierExtension,0,*,Extension
InsurancePlan.plan.identifier,0,*,Identifier
InsurancePlan.plan.type,0,1,CodeableConcept
InsurancePlan.plan.coverageArea,0,*,Reference
InsurancePlan.plan.network,0,*,Reference
InsurancePlan.plan.generalCost,0,*,BackboneElement
InsurancePlan.plan.generalCost.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.plan.generalCost.extension,0,*,Extension
InsurancePlan.plan.generalCost.modifierExtension,0,*,Extension
InsurancePlan.plan.generalCost.type,0,1,CodeableConcept
InsurancePlan.plan.generalCost.groupSize,0,1,positiveInt
InsurancePlan.plan.generalCost.cost,0,1,Money
InsurancePlan.plan.generalCost.comment,0,1,string
InsurancePlan.plan.specificCost,0,*,BackboneElement
InsurancePlan.plan.specificCost.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.plan.specificCost.extension,0,*,Extension
InsurancePlan.plan.specificCost.modifierExtension,0,*,Extension
InsurancePlan.plan.specificCost.category,1,1,CodeableConcept
InsurancePlan.plan.specificCost.benefit,0,*,BackboneElement
InsurancePlan.plan.specificCost.benefit.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.plan.specificCost.benefit.extension,0,*,Extension
InsurancePlan.plan.specificCost.benefit.modifierExtension,0,*,Extension
InsurancePlan.plan.specificCost.benefit.type,1,1,CodeableConcept
InsurancePlan.plan.specificCost.benefit.cost,0,*,BackboneElement
InsurancePlan.plan.specificCost.benefit.cost.id,0,1,http://hl7.org/fhirpath/System.String
InsurancePlan.plan.specificCost.benefit.cost.extension,0,*,Extension
InsurancePlan.plan.specificCost.benefit.cost.modifierExtension,0,*,Extension
InsurancePlan.plan.specificCost.benefit.cost.type,1,1,CodeableConcept
InsurancePlan.plan.specificCost.benefit.cost.applicability,0,1,CodeableConcept
InsurancePlan.plan.specificCost.benefit.cost.qualifiers,0,*,CodeableConcept
InsurancePlan.plan.specificCost.benefit.cost.value,0,1,Quantity
