path,min,max,type
InventoryItem.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.meta,0,1,Meta
InventoryItem.implicitRules,0,1,uri
InventoryItem.language,0,1,code
InventoryItem.text,0,1,Narrative
InventoryItem.contained,0,*,Resource
InventoryItem.extension,0,*,Extension
InventoryItem.modifierExtension,0,*,Extension
InventoryItem.status,1,1,code
InventoryItem.category,0,*,CodeableConcept
InventoryItem.code,0,*,CodeableConcept
InventoryItem.name,0,*,BackboneElement
InventoryItem.name.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.name.extension,0,*,Extension
InventoryItem.name.modifierExtension,0,*,Extension
InventoryItem.name.nameType,1,1,Coding
InventoryItem.name.language,1,1,code
InventoryItem.name.name,1,1,string
InventoryItem.responsibleOrganization,0,*,BackboneElement
InventoryItem.responsibleOrganization.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.responsibleOrganization.extension,0,*,Extension
InventoryItem.responsibleOrganization.modifierExtension,0,*,Extension
InventoryItem.responsibleOrganization.role,1,1,CodeableConcept
InventoryItem.responsibleOrganization.organization,1,1,Reference
InventoryItem.description,0,1,BackboneElement
InventoryItem.description.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.description.extension,0,*,Extension
InventoryItem.description.modifierExtension,0,*,Extension
InventoryItem.description.language,0,1,code
InventoryItem.description.description,0,1,string
InventoryItem.inventoryStatus,0,*,CodeableConcept
InventoryItem.baseUnit,0,1,CodeableConcept
InventoryItem.netContent,0,1,Quantity
InventoryItem.association,0,*,BackboneElement
InventoryItem.association.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.association.extension,0,*,Extension
InventoryItem.association.modifierExtension,0,*,Extension
InventoryItem.association.associationType,1,1,CodeableConcept
InventoryItem.association.relatedItem,1,1,Reference
InventoryItem.association.quantity,1,1,Ratio
InventoryItem.characteristics,0,*,BackboneElement
InventoryItem.characteristics.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.characteristics.extension,0,*,Extension
InventoryItem.characteristics.modifierExtension,0,*,Extension
InventoryItem.characteristics.characteristicType,1,1,CodeableConcept
InventoryItem.characteristics.value[x],1,1,string;integer;decimal;boolean;url;dateTime;Quantity;Range;Ratio;Annotation;Address;Duration;CodeableConcept
InventoryItem.instance,0,1,BackboneElement
InventoryItem.instance.id,0,1,http://hl7.org/fhirpath/System.String
InventoryItem.instance.extension,0,*,Extension
InventoryItem.instance.modifierExtension,0,*,Extension
InventoryItem.instance.identifier,0,*,Identifier
InventoryItem.instance.lotNumber,0,1,string
InventoryItem.instance.expiry,0,1,dateTime
InventoryItem.instance.subject,0,1,Reference
InventoryItem.instance.location,0,1,Reference
InventoryItem.productReference,0,1,Reference
