path,min,max,type
InventoryReport.id,0,1,http://hl7.org/fhirpath/System.String
InventoryReport.meta,0,1,Meta
InventoryReport.implicitRules,0,1,uri
InventoryReport.language,0,1,code
InventoryReport.text,0,1,Narrative
InventoryReport.contained,0,*,Resource
InventoryReport.extension,0,*,Extension
InventoryReport.modifierExtension,0,*,Extension
InventoryReport.identifier,0,*,Identifier
InventoryReport.status,1,1,code
InventoryReport.countType,1,1,code
InventoryReport.operationType,0,1,CodeableConcept
InventoryReport.operationTypeReason,0,1,CodeableConcept
InventoryReport.reportedDateTime,1,1,dateTime
InventoryReport.reporter,0,1,Reference
InventoryReport.reportingPeriod,0,1,Period
InventoryReport.inventoryListing,0,*,BackboneElement
InventoryReport.inventoryListing.id,0,1,http://hl7.org/fhirpath/System.String
InventoryReport.inventoryListing.extension,0,*,Extension
InventoryReport.inventoryListing.modifierExtension,0,*,Extension
InventoryReport.inventoryListing.location,0,1,Reference
InventoryReport.inventoryListing.itemStatus,0,1,CodeableConcept
InventoryReport.inventoryListing.countingDateTime,0,1,dateTime
InventoryReport.inventoryListing.items,0,*,BackboneElement
InventoryReport.inventoryListing.items.id,0,1,http://hl7.org/fhirpath/System.String
InventoryReport.inventoryListing.items.extension,0,*,Extension
InventoryReport.inventoryListing.items.modifierExtension,0,*,Extension
InventoryReport.inventoryListing.items.category,0,1,CodeableConcept
InventoryReport.inventoryListing.items.quantity,1,1,Quantity
InventoryReport.inventoryListing.items.item,1,1,CodeableReference
InventoryReport.note,0,1,Annotation
