path,min,max,type
Invoice.id,0,1,http://hl7.org/fhirpath/System.String
Invoice.meta,0,1,Meta
Invoice.implicitRules,0,1,uri
Invoice.language,0,1,code
Invoice.text,0,1,Narrative
Invoice.contained,0,*,Resource
Invoice.extension,0,*,Extension
Invoice.modifierExtension,0,*,Extension
Invoice.identifier,0,*,Identifier
Invoice.status,1,1,code
Invoice.cancelledReason,0,1,string
Invoice.type,0,1,CodeableConcept
Invoice.subject,0,1,Reference
Invoice.recipient,0,1,Reference
Invoice.date,0,1,dateTime
Invoice.creation,0,1,dateTime
Invoice.period[x],0,1,date;Period
Invoice.participant,0,*,BackboneElement
Invoice.participant.id,0,1,http://hl7.org/fhirpath/System.String
Invoice.participant.extension,0,*,Extension
Invoice.participant.modifierExtension,0,*,Extension
Invoice.participant.role,0,1,CodeableConcept
Invoice.participant.actor,1,1,Reference
Invoice.issuer,0,1,Reference
Invoice.account,0,1,Reference
Invoice.lineItem,0,*,BackboneElement
Invoice.lineItem.id,0,1,http://hl7.org/fhirpath/System.String
Invoice.lineItem.extension,0,*,Extension
Invoice.lineItem.modifierExtension,0,*,Extension
Invoice.lineItem.sequence,0,1,positiveInt
Invoice.lineItem.serviced[x],0,1,date;Period
Invoice.lineItem.chargeItem[x],1,1,Reference;CodeableConcept
Invoice.lineItem.priceComponent,0,*,MonetaryComponent
Invoice.totalPriceComponent,0,*,MonetaryComponent
Invoice.totalNet,0,1,Money
Invoice.totalGross,0,1,Money
Invoice.paymentTerms,0,1,markdown
Invoice.note,0,*,Annotation
