path,min,max,type
Library.id,0,1,http://hl7.org/fhirpath/System.String
Library.meta,0,1,Meta
Library.implicitRules,0,1,uri
Library.language,0,1,code
Library.text,0,1,Narrative
Library.contained,0,*,Resource
Library.extension,0,*,Extension
Library.modifierExtension,0,*,Extension
Library.url,0,1,uri
Library.identifier,0,*,Identifier
Library.version,0,1,string
Library.versionAlgorithm[x],0,1,string;Coding
Library.name,0,1,string
Library.title,0,1,string
Library.subtitle,0,1,string
Library.status,1,1,code
Library.experimental,0,1,boolean
Library.type,1,1,CodeableConcept
Library.subject[x],0,1,CodeableConcept;Reference
Library.date,0,1,dateTime
Library.publisher,0,1,string
Library.contact,0,*,ContactDetail
Library.description,0,1,markdown
Library.useContext,0,*,UsageContext
Library.jurisdiction,0,*,CodeableConcept
Library.purpose,0,1,markdown
Library.usage,0,1,markdown
Library.copyright,0,1,markdown
Library.copyrightLabel,0,1,string
Library.approvalDate,0,1,date
Library.lastReviewDate,0,1,date
Library.effectivePeriod,0,1,Period
Library.topic,0,*,CodeableConcept
Library.author,0,*,ContactDetail
Library.editor,0,*,ContactDetail
Library.reviewer,0,*,ContactDetail
Library.endorser,0,*,ContactDetail
Library.relatedArtifact,0,*,RelatedArtifact
Library.parameter,0,*,ParameterDefinition
Library.dataRequirement,0,*,DataRequirement
Library.content,0,*,Attachment
