path,min,max,type
List.id,0,1,http://hl7.org/fhirpath/System.String
List.meta,0,1,Meta
List.implicitRules,0,1,uri
List.language,0,1,code
List.text,0,1,Narrative
List.contained,0,*,Resource
List.extension,0,*,Extension
List.modifierExtension,0,*,Extension
List.identifier,0,*,Identifier
List.status,1,1,code
List.mode,1,1,code
List.title,0,1,string
List.code,0,1,CodeableConcept
List.subject,0,*,Reference
List.encounter,0,1,Reference
List.date,0,1,dateTime
List.source,0,1,Reference
List.orderedBy,0,1,CodeableConcept
List.note,0,*,Annotation
List.entry,0,*,BackboneElement
List.entry.id,0,1,http://hl7.org/fhirpath/System.String
List.entry.extension,0,*,Extension
List.entry.modifierExtension,0,*,Extension
List.entry.flag,0,1,CodeableConcept
List.entry.deleted,0,1,boolean
List.entry.date,0,1,dateTime
List.entry.item,1,1,Reference
List.emptyReason,0,1,CodeableConcept
