path,min,max,type
Location.id,0,1,http://hl7.org/fhirpath/System.String
Location.meta,0,1,Meta
Location.implicitRules,0,1,uri
Location.language,0,1,code
Location.text,0,1,Narrative
Location.contained,0,*,Resource
Location.extension,0,*,Extension
Location.modifierExtension,0,*,Extension
Location.identifier,0,*,Identifier
Location.status,0,1,code
Location.operationalStatus,0,1,Coding
Location.name,0,1,string
Location.alias,0,*,string
Location.description,0,1,markdown
Location.mode,0,1,code
Location.type,0,*,CodeableConcept
Location.contact,0,*,ExtendedContactDetail
Location.address,0,1,Address
Location.form,0,1,CodeableConcept
Location.position,0,1,BackboneElement
Location.position.id,0,1,http://hl7.org/fhirpath/System.String
Location.position.extension,0,*,Extension
Location.position.modifierExtension,0,*,Extension
Location.position.longitude,1,1,decimal
Location.position.latitude,1,1,decimal
Location.position.altitude,0,1,decimal
Location.managingOrganization,0,1,Reference
Location.partOf,0,1,Reference
Location.characteristic,0,*,CodeableConcept
Location.hoursOfOperation,0,*,Availability
Location.virtualService,0,*,VirtualServiceDetail
Location.endpoint,0,*,Reference
