path,min,max,type
ManufacturedItemDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ManufacturedItemDefinition.meta,0,1,Meta
ManufacturedItemDefinition.implicitRules,0,1,uri
ManufacturedItemDefinition.language,0,1,code
ManufacturedItemDefinition.text,0,1,Narrative
ManufacturedItemDefinition.contained,0,*,Resource
ManufacturedItemDefinition.extension,0,*,Extension
ManufacturedItemDefinition.modifierExtension,0,*,Extension
ManufacturedItemDefinition.identifier,0,*,Identifier
ManufacturedItemDefinition.status,1,1,code
ManufacturedItemDefinition.name,0,1,string
ManufacturedItemDefinition.manufacturedDoseForm,1,1,CodeableConcept
ManufacturedItemDefinition.unitOfPresentation,0,1,CodeableConcept
ManufacturedItemDefinition.manufacturer,0,*,Reference
ManufacturedItemDefinition.marketingStatus,0,*,MarketingStatus
ManufacturedItemDefinition.ingredient,0,*,CodeableConcept
ManufacturedItemDefinition.property,0,*,BackboneElement
ManufacturedItemDefinition.property.id,0,1,http://hl7.org/fhirpath/System.String
ManufacturedItemDefinition.property.extension,0,*,Extension
ManufacturedItemDefinition.property.modifierExtension,0,*,Extension
ManufacturedItemDefinition.property.type,1,1,CodeableConcept
ManufacturedItemDefinition.property.value[x],0,1,CodeableConcept;Quantity;date;boolean;markdown;Attachment;Reference
ManufacturedItemDefinition.component,0,*,BackboneElement
ManufacturedItemDefinition.component.id,0,1,http://hl7.org/fhirpath/System.String
ManufacturedItemDefinition.component.extension,0,*,Extension
ManufacturedItemDefinition.component.modifierExtension,0,*,Extension
ManufacturedItemDefinition.component.type,1,1,CodeableConcept
ManufacturedItemDefinition.component.function,0,*,CodeableConcept
ManufacturedItemDefinition.component.amount,0,*,Quantity
ManufacturedItemDefinition.component.constituent,0,*,BackboneElement
ManufacturedItemDefinition.component.constituent.id,0,1,http://hl7.org/fhirpath/System.String
ManufacturedItemDefinition.component.constituent.extension,0,*,Extension
ManufacturedItemDefinition.component.constituent.modifierExtension,0,*,Extension
ManufacturedItemDefinition.component.constituent.amount,0,*,Quantity
ManufacturedItemDefinition.component.constituent.location,0,*,CodeableConcept
ManufacturedItemDefinition.component.constituent.function,0,*,CodeableConcept
ManufacturedItemDefinition.component.constituent.hasIngredient,0,*,CodeableReference
