path,min,max,type
Measure.id,0,1,http://hl7.org/fhirpath/System.String
Measure.meta,0,1,Meta
Measure.implicitRules,0,1,uri
Measure.language,0,1,code
Measure.text,0,1,Narrative
Measure.contained,0,*,Resource
Measure.extension,0,*,Extension
Measure.modifierExtension,0,*,Extension
Measure.url,0,1,uri
Measure.identifier,0,*,Identifier
Measure.version,0,1,string
Measure.versionAlgorithm[x],0,1,string;Coding
Measure.name,0,1,string
Measure.title,0,1,string
Measure.subtitle,0,1,string
Measure.status,1,1,code
Measure.experimental,0,1,boolean
Measure.subject[x],0,1,CodeableConcept;Reference
Measure.basis,0,1,code
Measure.date,0,1,dateTime
Measure.publisher,0,1,string
Measure.contact,0,*,ContactDetail
Measure.description,0,1,markdown
Measure.useContext,0,*,UsageContext
Measure.jurisdiction,0,*,CodeableConcept
Measure.purpose,0,1,markdown
Measure.usage,0,1,string
Measure.copyright,0,1,markdown
Measure.copyrightLabel,0,1,string
Measure.approvalDate,0,1,date
Measure.lastReviewDate,0,1,date
Measure.effectivePeriod,0,1,Period
Measure.topic,0,*,CodeableConcept
Measure.author,0,*,ContactDetail
Measure.editor,0,*,ContactDetail
Measure.reviewer,0,*,ContactDetail
Measure.endorser,0,*,ContactDetail
Measure.relatedArtifact,0,*,RelatedArtifact
Measure.library,0,*,canonical
Measure.disclaimer,0,1,markdown
Measure.scoring,0,1,CodeableConcept
Measure.scoringUnit,0,1,CodeableConcept
Measure.compositeScoring,0,1,CodeableConcept
Measure.type,0,*,CodeableConcept
Measure.riskAdjustment,0,1,string
Measure.rateAggregation,0,1,string
Measure.rationale,0,1,markdown
Measure.clinicalRecommendationStatement,0,1,markdown
Measure.improvementNotation,0,1,CodeableConcept
Measure.term,0,*,BackboneElement
Measure.term.id,0,1,http://hl7.org/fhirpath/System.String
Measure.term.extension,0,*,Extension
Measure.term.modifierExtension,0,*,Extension
Measure.term.code,0,1,CodeableConcept
Measure.term.definition,0,1,markdown
Measure.guidance,0,1,markdown
Measure.group,0,*,BackboneElement
Measure.group.id,0,1,http://hl7.org/fhirpath/System.String
Measure.group.extension,0,*,Extension
Measure.group.modifierExtension,0,*,Extension
Measure.group.code,0,1,CodeableConcept
Measure.group.description,0,1,string
Measure.group.type,0,*,CodeableConcept
Measure.group.basis,0,1,code
Measure.group.scoring,0,1,CodeableConcept
Measure.group.scoringUnit,0,1,CodeableConcept
Measure.group.improvementNotation,0,1,CodeableConcept
Measure.group.population,0,*,BackboneElement
Measure.group.population.id,0,1,http://hl7.org/fhirpath/System.String
Measure.group.population.extension,0,*,Extension
Measure.group.population.modifierExtension,0,*,Extension
Measure.group.population.code,0,1,CodeableConcept
Measure.group.population.description,0,1,string
Measure.group.population.criteria,1,1,Expression
Measure.group.population.inputPopulationId,0,1,string
Measure.group.population.aggregateMethod,0,1,CodeableConcept
Measure.group.stratifier,0,*,BackboneElement
Measure.group.stratifier.id,0,1,http://hl7.org/fhirpath/System.String
Measure.group.stratifier.extension,0,*,Extension
Measure.group.stratifier.modifierExtension,0,*,Extension
Measure.group.stratifier.code,0,1,CodeableConcept
Measure.group.stratifier.description,0,1,string
Measure.group.stratifier.criteria,0,1,Expression
Measure.group.stratifier.component,0,*,BackboneElement
Measure.group.stratifier.component.id,0,1,http://hl7.org/fhirpath/System.String
Measure.group.stratifier.component.extension,0,*,Extension
Measure.group.stratifier.component.modifierExtension,0,*,Extension
Measure.group.stratifier.component.code,0,1,CodeableConcept
Measure.group.stratifier.component.description,0,1,string
Measure.group.stratifier.component.criteria,1,1,Expression
Measure.supplementalData,0,*,BackboneElement
Measure.supplementalData.id,0,1,http://hl7.org/fhirpath/System.String
Measure.supplementalData.extension,0,*,Extension
Measure.supplementalData.modifierExtension,0,*,Extension
Measure.supplementalData.code,0,1,CodeableConcept
Measure.supplementalData.usage,0,*,CodeableConcept
Measure.supplementalData.description,0,1,string
Measure.supplementalData.criteria,1,1,Expression
