path,min,max,type
MeasureReport.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.meta,0,1,Meta
MeasureReport.implicitRules,0,1,uri
MeasureReport.language,0,1,code
MeasureReport.text,0,1,Narrative
MeasureReport.contained,0,*,Resource
MeasureReport.extension,0,*,Extension
MeasureReport.modifierExtension,0,*,Extension
MeasureReport.identifier,0,*,Identifier
MeasureReport.status,1,1,code
MeasureReport.type,1,1,code
MeasureReport.dataUpdateType,0,1,code
MeasureReport.measure,0,1,canonical
MeasureReport.subject,0,1,Reference
MeasureReport.date,0,1,dateTime
MeasureReport.reporter,0,1,Reference
MeasureReport.reportingVendor,0,1,Reference
MeasureReport.location,0,1,Reference
MeasureReport.period,1,1,Period
MeasureReport.inputParameters,0,1,Reference
MeasureReport.scoring,0,1,CodeableConcept
MeasureReport.improvementNotation,0,1,CodeableConcept
MeasureReport.group,0,*,BackboneElement
MeasureReport.group.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.extension,0,*,Extension
MeasureReport.group.modifierExtension,0,*,Extension
MeasureReport.group.code,0,1,CodeableConcept
MeasureReport.group.population,0,*,BackboneElement
MeasureReport.group.population.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.population.extension,0,*,Extension
MeasureReport.group.population.modifierExtension,0,*,Extension
MeasureReport.group.population.code,0,1,CodeableConcept
MeasureReport.group.population.count,0,1,integer
MeasureReport.group.population.subjectResults,0,1,Reference
MeasureReport.group.measureScore[x],0,1,Quantity;dateTime;CodeableConcept;Period;Range;Duration
MeasureReport.group.stratifier,0,*,BackboneElement
MeasureReport.group.stratifier.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.stratifier.extension,0,*,Extension
MeasureReport.group.stratifier.modifierExtension,0,*,Extension
MeasureReport.group.stratifier.code,0,1,CodeableConcept
MeasureReport.group.stratifier.stratum,0,*,BackboneElement
MeasureReport.group.stratifier.stratum.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.stratifier.stratum.extension,0,*,Extension
MeasureReport.group.stratifier.stratum.modifierExtension,0,*,Extension
MeasureReport.group.stratifier.stratum.value[x],0,1,CodeableConcept;boolean;Quantity;Range;Reference
MeasureReport.group.stratifier.stratum.component,0,*,BackboneElement
MeasureReport.group.stratifier.stratum.component.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.stratifier.stratum.component.extension,0,*,Extension
MeasureReport.group.stratifier.stratum.component.modifierExtension,0,*,Extension
MeasureReport.group.stratifier.stratum.component.code,1,1,CodeableConcept
MeasureReport.group.stratifier.stratum.component.value[x],1,1,CodeableConcept;boolean;Quantity;Range;Reference
MeasureReport.group.stratifier.stratum.population,0,*,BackboneElement
MeasureReport.group.stratifier.stratum.population.id,0,1,http://hl7.org/fhirpath/System.String
MeasureReport.group.stratifier.stratum.population.extension,0,*,Extension
MeasureReport.group.stratifier.stratum.population.modifierExtension,0,*,Extension
MeasureReport.group.stratifier.stratum.population.code,0,1,CodeableConcept
MeasureReport.group.stratifier.stratum.population.count,0,1,integer
MeasureReport.group.stratifier.stratum.population.subjectResults,0,1,Reference
MeasureReport.group.stratifier.stratum.measureScore[x],0,1,Quantity;dateTime;CodeableConcept;Period;Range;Duration
MeasureReport.evaluatedResource,0,*,Reference
