path,min,max,type
Medication.id,0,1,http://hl7.org/fhirpath/System.String
Medication.meta,0,1,Meta
Medication.implicitRules,0,1,uri
Medication.language,0,1,code
Medication.text,0,1,Narrative
Medication.contained,0,*,Resource
Medication.extension,0,*,Extension
Medication.modifierExtension,0,*,Extension
Medication.identifier,0,*,Identifier
Medication.code,0,1,CodeableConcept
Medication.status,0,1,code
Medication.marketingAuthorizationHolder,0,1,Reference
Medication.doseForm,0,1,CodeableConcept
Medication.totalVolume,0,1,Ratio
Medication.ingredient,0,*,BackboneElement
Medication.ingredient.id,0,1,http://hl7.org/fhirpath/System.String
Medication.ingredient.extension,0,*,Extension
Medication.ingredient.modifierExtension,0,*,Extension
Medication.ingredient.item,1,1,CodeableReference
Medication.ingredient.isActive,0,1,boolean
Medication.ingredient.strength[x],0,1,Ratio;CodeableConcept;Quantity
Medication.batch,0,1,BackboneElement
Medication.batch.id,0,1,http://hl7.org/fhirpath/System.String
Medication.batch.extension,0,*,Extension
Medication.batch.modifierExtension,0,*,Extension
Medication.batch.lotNumber,0,1,string
Medication.batch.expirationDate,0,1,dateTime
