path,min,max,type
MedicationAdministration.id,0,1,http://hl7.org/fhirpath/System.String
MedicationAdministration.meta,0,1,Meta
MedicationAdministration.implicitRules,0,1,uri
MedicationAdministration.language,0,1,code
MedicationAdministration.text,0,1,Narrative
MedicationAdministration.contained,0,*,Resource
MedicationAdministration.extension,0,*,Extension
MedicationAdministration.modifierExtension,0,*,Extension
MedicationAdministration.identifier,0,*,Identifier
MedicationAdministration.basedOn,0,*,Reference
MedicationAdministration.partOf,0,*,Reference
MedicationAdministration.status,1,1,code
MedicationAdministration.statusReason,0,*,CodeableConcept
MedicationAdministration.category,0,*,CodeableConcept
MedicationAdministration.medication,1,1,CodeableReference
MedicationAdministration.subject,1,1,Reference
MedicationAdministration.encounter,0,1,Reference
MedicationAdministration.supportingInformation,0,*,Reference
MedicationAdministration.occurence[x],1,1,dateTime;Period;Timing
MedicationAdministration.recorded,0,1,dateTime
MedicationAdministration.isSubPotent,0,1,boolean
MedicationAdministration.subPotentReason,0,*,CodeableConcept
MedicationAdministration.performer,0,*,BackboneElement
MedicationAdministration.performer.id,0,1,http://hl7.org/fhirpath/System.String
MedicationAdministration.performer.extension,0,*,Extension
MedicationAdministration.performer.modifierExtension,0,*,Extension
MedicationAdministration.performer.function,0,1,CodeableConcept
MedicationAdministration.performer.actor,1,1,CodeableReference
MedicationAdministration.reason,0,*,CodeableReference
MedicationAdministration.request,0,1,Reference
MedicationAdministration.device,0,*,CodeableReference
MedicationAdministration.note,0,*,Annotation
MedicationAdministration.dosage,0,1,BackboneElement
MedicationAdministration.dosage.id,0,1,http://hl7.org/fhirpath/System.String
MedicationAdministration.dosage.extension,0,*,Extension
MedicationAdministration.dosage.modifierExtension,0,*,Extension
MedicationAdministration.dosage.text,0,1,string
MedicationAdministration.dosage.site,0,1,CodeableConcept
MedicationAdministration.dosage.route,0,1,CodeableConcept
MedicationAdministration.dosage.method,0,1,CodeableConcept
MedicationAdministration.dosage.dose,0,1,Quantity
MedicationAdministration.dosage.rate[x],0,1,Ratio;Quantity
MedicationAdministration.eventHistory,0,*,Reference
