path,min,max,type
MedicationDispense.id,0,1,http://hl7.org/fhirpath/System.String
MedicationDispense.meta,0,1,Meta
MedicationDispense.implicitRules,0,1,uri
MedicationDispense.language,0,1,code
MedicationDispense.text,0,1,Narrative
MedicationDispense.contained,0,*,Resource
MedicationDispense.extension,0,*,Extension
MedicationDispense.modifierExtension,0,*,Extension
MedicationDispense.identifier,0,*,Identifier
MedicationDispense.basedOn,0,*,Reference
MedicationDispense.partOf,0,*,Reference
MedicationDispense.status,1,1,code
MedicationDispense.notPerformedReason,0,1,CodeableReference
MedicationDispense.statusChanged,0,1,dateTime
MedicationDispense.category,0,*,CodeableConcept
MedicationDispense.medication,1,1,CodeableReference
MedicationDispense.subject,1,1,Reference
MedicationDispense.encounter,0,1,Reference
MedicationDispense.supportingInformation,0,*,Reference
MedicationDispense.performer,0,*,BackboneElement
MedicationDispense.performer.id,0,1,http://hl7.org/fhirpath/System.String
MedicationDispense.performer.extension,0,*,Extension
MedicationDispense.performer.modifierExtension,0,*,Extension
MedicationDispense.performer.function,0,1,CodeableConcept
MedicationDispense.performer.actor,1,1,Reference
MedicationDispense.location,0,1,Reference
MedicationDispense.authorizingPrescription,0,*,Reference
MedicationDispense.type,0,1,CodeableConcept
MedicationDispense.quantity,0,1,Quantity
MedicationDispense.daysSupply,0,1,Quantity
MedicationDispense.recorded,0,1,dateTime
MedicationDispense.whenPrepared,0,1,dateTime
MedicationDispense.whenHandedOver,0,1,dateTime
MedicationDispense.destination,0,1,Reference
MedicationDispense.receiver,0,*,Reference
MedicationDispense.note,0,*,Annotation
MedicationDispense.renderedDosageInstruction,0,1,markdown
MedicationDispense.dosageInstruction,0,*,Dosage
MedicationDispense.substitution,0,1,BackboneElement
MedicationDispense.substitution.id,0,1,http://hl7.org/fhirpath/System.String
MedicationDispense.substitution.extension,0,*,Extension
MedicationDispense.substitution.modifierExtension,0,*,Extension
MedicationDispense.substitution.wasSubstituted,1,1,boolean
MedicationDispense.substitution.type,0,1,CodeableConcept
MedicationDispense.substitution.reason,0,*,CodeableConcept
MedicationDispense.substitution.responsibleParty,0,1,Reference
MedicationDispense.eventHistory,0,*,Reference
