path,min,max,type
MedicationKnowledge.id,0,1,http://hl7.org/fhirpath/System.String
MedicationKnowledge.meta,0,1,Meta
MedicationKnowledge.implicitRules,0,1,uri
MedicationKnowledge.language,0,1,code
MedicationKnowledge.text,0,1,Narrative
MedicationKnowledge.contained,0,*,Resource
MedicationKnowledge.extension,0,*,Extension
MedicationKnowledge.modifierExtension,0,*,Extension
MedicationKnowledge.identifier,0,*,Identifier
MedicationKnowledge.code,0,1,CodeableConcept
MedicationKnowledge.status,0,1,code
MedicationKnowledge.author,0,1,Reference
MedicationKnowledge.intendedJurisdiction,0,*,CodeableConcept
MedicationKnowledge.name,0,*,string
MedicationKnowledge.relatedMedicationKnowledge,0,*,BackboneElement
MedicationKnowledge.relatedMedicationKnowledge.id,0,1,http://hl7.org/fhirpath/System.String
MedicationKnowledge.relatedMedicationKnowledge.extension,0,*,Extension
MedicationKnowledge.relatedMedicationKnowledge.modifierExtension,0,*,Extension
MedicationKnowledge.relatedMedicationKnowledge.type,1,1,CodeableConcept
MedicationKnowledge.relatedMedicationKnowledge.reference,1,*,Reference
MedicationKnowledge.associatedMedication,0,*,Reference
MedicationKnowledge.productType,0,*,CodeableConcept
MedicationKnowledge.monograph,0,*,BackboneElement
MedicationKnowledge.monograph.id,0,1,http://hl7.org/fhirpath/System.String
MedicationKnowledge.monograph.extension,0,*,Extension
MedicationKnowledge.monograph.modifierExtension,0,*,Extension
MedicationKnowledge.monograph.type,0,1,CodeableConcept
MedicationKnowledge.monograph.source,0,1,Reference
MedicationKnowledge.preparationInstruction,0,1,markdown
MedicationKnowledge.cost,0,*,BackboneElement
MedicationKnowledge.cost.id,0,1,http://hl7.org/fhirpath/System.String
MedicationKnowledge.cost.extension,0,*,Extension
MedicationKnowledge.cost.modifierExtension,0,*,Extension
MedicationKnowledge.cost.effectiveDate,0,*,Period
MedicationKnowledge.cost.type,1,1,CodeableConcept
MedicationKnowledge.cost.source,0,1,string
MedicationKnowledge.cost.cost[x],1,1,Money;CodeableConcept
MedicationKnowledge.monitoringProgram,0,*,BackboneElement
MedicationKnowledge.monitoringProgram.id,0,1,http://hl7.org/fhirpath/System.String
MedicationKnowledge.monitoringProgram.extension,0,*,Extension
MedicationKnowledge.monitoringProgram.modifierExtension,0,*,Extension
