path,min,max,type
MedicationRequest.id,0,1,http://hl7.org/fhirpath/System.String
MedicationRequest.meta,0,1,Meta
MedicationRequest.implicitRules,0,1,uri
MedicationRequest.language,0,1,code
MedicationRequest.text,0,1,Narrative
MedicationRequest.contained,0,*,Resource
MedicationRequest.extension,0,*,Extension
MedicationRequest.modifierExtension,0,*,Extension
MedicationRequest.identifier,0,*,Identifier
MedicationRequest.basedOn,0,*,Reference
MedicationRequest.priorPrescription,0,1,Reference
MedicationRequest.groupIdentifier,0,1,Identifier
MedicationRequest.status,1,1,code
MedicationRequest.statusReason,0,1,CodeableConcept
MedicationRequest.statusChanged,0,1,dateTime
MedicationRequest.intent,1,1,code
MedicationRequest.category,0,*,CodeableConcept
MedicationRequest.priority,0,1,code
MedicationRequest.doNotPerform,0,1,boolean
MedicationRequest.medication,1,1,CodeableReference
MedicationRequest.subject,1,1,Reference
MedicationRequest.informationSource,0,*,Reference
MedicationRequest.encounter,0,1,Reference
MedicationRequest.supportingInformation,0,*,Reference
MedicationRequest.authoredOn,0,1,dateTime
MedicationRequest.requester,0,1,Reference
MedicationRequest.reported,0,1,boolean
MedicationRequest.performerType,0,1,CodeableConcept
MedicationRequest.performer,0,*,Reference
MedicationRequest.device,0,*,CodeableReference
MedicationRequest.recorder,0,1,Reference
MedicationRequest.reason,0,*,CodeableReference
MedicationRequest.courseOfTherapyType,0,1,CodeableConcept
MedicationRequest.insurance,0,*,Reference
MedicationRequest.note,0,*,Annotation
MedicationRequest.renderedDosageInstruction,0,1,markdown
MedicationRequest.effectiveDosePeriod,0,1,Period
MedicationRequest.dosageInstruction,0,*,Dosage
MedicationRequest.dispenseRequest,0,1,BackboneElement
MedicationRequest.dispenseRequest.id,0,1,http://hl7.org/fhirpath/System.String
MedicationRequest.dispenseRequest.extension,0,*,Extension
MedicationRequest.dispenseRequest.modifierExtension,0,*,Extension
MedicationRequest.dispenseRequest.initialFill,0,1,BackboneElement
MedicationRequest.dispenseRequest.initialFill.id,0,1,http://hl7.org/fhirpath/System.String
MedicationRequest.dispenseRequest.initialFill.extension,0,*,Extension
MedicationRequest.dispenseRequest.initialFill.modifierExtension,0,*,Extension
MedicationRequest.dispenseRequest.initialFill.quantity,0,1,Quantity
MedicationRequest.dispenseRequest.initialFill.duration,0,1,Duration
MedicationRequest.dispenseRequest.dispenseInterval,0,1,Duration
MedicationRequest.dispenseRequest.validityPeriod,0,1,Period
MedicationRequest.dispenseRequest.numberOfRepeatsAllowed,0,1,unsignedInt
MedicationRequest.dispenseRequest.quantity,0,1,Quantity
MedicationRequest.dispenseRequest.expectedSupplyDuration,0,1,Duration
MedicationRequest.dispenseRequest.dispenser,0,1,Reference
MedicationRequest.dispenseRequest.dispenserInstruction,0,*,Annotation
MedicationRequest.dispenseRequest.doseAdministrationAid,0,1,CodeableConcept
MedicationRequest.substitution,0,1,BackboneElement
MedicationRequest.substitution.id,0,1,http://hl7.org/fhirpath/System.String
MedicationRequest.substitution.extension,0,*,Extension
MedicationRequest.substitution.modifierExtension,0,*,Extension
MedicationRequest.substitution.allowed[x],1,1,boolean;CodeableConcept
MedicationRequest.substitution.reason,0,1,CodeableConcept
MedicationRequest.eventHistory,0,*,Reference
