path,min,max,type
MedicationStatement.id,0,1,http://hl7.org/fhirpath/System.String
MedicationStatement.meta,0,1,Meta
MedicationStatement.implicitRules,0,1,uri
MedicationStatement.language,0,1,code
MedicationStatement.text,0,1,Narrative
MedicationStatement.contained,0,*,Resource
MedicationStatement.extension,0,*,Extension
MedicationStatement.modifierExtension,0,*,Extension
MedicationStatement.identifier,0,*,Identifier
MedicationStatement.partOf,0,*,Reference
MedicationStatement.status,1,1,code
MedicationStatement.category,0,*,CodeableConcept
MedicationStatement.medication,1,1,CodeableReference
MedicationStatement.subject,1,1,Reference
MedicationStatement.encounter,0,1,Reference
MedicationStatement.effective[x],0,1,dateTime;Period;Timing
MedicationStatement.dateAsserted,0,1,dateTime
MedicationStatement.informationSource,0,*,Reference
MedicationStatement.derivedFrom,0,*,Reference
MedicationStatement.reason,0,*,CodeableReference
MedicationStatement.note,0,*,Annotation
MedicationStatement.relatedClinicalInformation,0,*,Reference
MedicationStatement.renderedDosageInstruction,0,1,markdown
MedicationStatement.dosage,0,*,Dosage
MedicationStatement.adherence,0,1,BackboneElement
MedicationStatement.adherence.id,0,1,http://hl7.org/fhirpath/System.String
MedicationStatement.adherence.extension,0,*,Extension
MedicationStatement.adherence.modifierExtension,0,*,Extension
MedicationStatement.adherence.code,1,1,CodeableConcept
MedicationStatement.adherence.reason,0,1,CodeableConcept
