path,min,max,type
MedicinalProductDefinition.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.meta,0,1,Meta
MedicinalProductDefinition.implicitRules,0,1,uri
MedicinalProductDefinition.language,0,1,code
MedicinalProductDefinition.text,0,1,Narrative
MedicinalProductDefinition.contained,0,*,Resource
MedicinalProductDefinition.extension,0,*,Extension
MedicinalProductDefinition.modifierExtension,0,*,Extension
MedicinalProductDefinition.identifier,0,*,Identifier
MedicinalProductDefinition.type,0,1,CodeableConcept
MedicinalProductDefinition.domain,0,1,CodeableConcept
MedicinalProductDefinition.version,0,1,string
MedicinalProductDefinition.status,0,1,CodeableConcept
MedicinalProductDefinition.statusDate,0,1,dateTime
MedicinalProductDefinition.description,0,1,markdown
MedicinalProductDefinition.combinedPharmaceuticalDoseForm,0,1,CodeableConcept
MedicinalProductDefinition.route,0,*,CodeableConcept
MedicinalProductDefinition.indication,0,1,markdown
MedicinalProductDefinition.legalStatusOfSupply,0,1,CodeableConcept
MedicinalProductDefinition.additionalMonitoringIndicator,0,1,CodeableConcept
MedicinalProductDefinition.specialMeasures,0,*,CodeableConcept
MedicinalProductDefinition.pediatricUseIndicator,0,1,CodeableConcept
MedicinalProductDefinition.classification,0,*,CodeableConcept
MedicinalProductDefinition.marketingStatus,0,*,MarketingStatus
MedicinalProductDefinition.packagedMedicinalProduct,0,*,CodeableConcept
MedicinalProductDefinition.comprisedOf,0,*,Reference
MedicinalProductDefinition.ingredient,0,*,CodeableConcept
MedicinalProductDefinition.impurity,0,*,CodeableReference
MedicinalProductDefinition.attachedDocument,0,*,Reference
MedicinalProductDefinition.masterFile,0,*,Reference
MedicinalProductDefinition.contact,0,*,BackboneElement
MedicinalProductDefinition.contact.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.contact.extension,0,*,Extension
MedicinalProductDefinition.contact.modifierExtension,0,*,Extension
MedicinalProductDefinition.contact.type,0,1,CodeableConcept
MedicinalProductDefinition.contact.contact,1,1,Reference
MedicinalProductDefinition.clinicalTrial,0,*,Reference
MedicinalProductDefinition.code,0,*,Coding
MedicinalProductDefinition.name,1,*,BackboneElement
MedicinalProductDefinition.name.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.name.extension,0,*,Extension
MedicinalProductDefinition.name.modifierExtension,0,*,Extension
MedicinalProductDefinition.name.productName,1,1,string
MedicinalProductDefinition.name.type,0,1,CodeableConcept
MedicinalProductDefinition.name.part,0,*,BackboneElement
MedicinalProductDefinition.name.part.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.name.part.extension,0,*,Extension
MedicinalProductDefinition.name.part.modifierExtension,0,*,Extension
MedicinalProductDefinition.name.part.part,1,1,string
MedicinalProductDefinition.name.part.type,1,1,CodeableConcept
MedicinalProductDefinition.name.usage,0,*,BackboneElement
MedicinalProductDefinition.name.usage.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.name.usage.extension,0,*,Extension
MedicinalProductDefinition.name.usage.modifierExtension,0,*,Extension
MedicinalProductDefinition.name.usage.country,1,1,CodeableConcept
MedicinalProductDefinition.name.usage.jurisdiction,0,1,CodeableConcept
MedicinalProductDefinition.name.usage.language,1,1,CodeableConcept
MedicinalProductDefinition.crossReference,0,*,BackboneElement
MedicinalProductDefinition.crossReference.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.crossReference.extension,0,*,Extension
MedicinalProductDefinition.crossReference.modifierExtension,0,*,Extension
MedicinalProductDefinition.crossReference.product,1,1,CodeableReference
MedicinalProductDefinition.crossReference.type,0,1,CodeableConcept
MedicinalProductDefinition.operation,0,*,BackboneElement
MedicinalProductDefinition.operation.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.operation.extension,0,*,Extension
MedicinalProductDefinition.operation.modifierExtension,0,*,Extension
MedicinalProductDefinition.operation.type,0,1,CodeableReference
MedicinalProductDefinition.operation.effectiveDate,0,1,Period
MedicinalProductDefinition.operation.organization,0,*,Reference
MedicinalProductDefinition.operation.confidentialityIndicator,0,1,CodeableConcept
MedicinalProductDefinition.characteristic,0,*,BackboneElement
MedicinalProductDefinition.characteristic.id,0,1,http://hl7.org/fhirpath/System.String
MedicinalProductDefinition.characteristic.extension,0,*,Extension
MedicinalProductDefinition.characteristic.modifierExtension,0,*,Extension
MedicinalProductDefinition.characteristic.type,1,1,CodeableConcept
MedicinalProductDefinition.characteristic.value[x],0,1,CodeableConcept;markdown;Quantity;integer;date;boolean;Attachment
