path,min,max,type
MessageDefinition.id,0,1,http://hl7.org/fhirpath/System.String
MessageDefinition.meta,0,1,Meta
MessageDefinition.implicitRules,0,1,uri
MessageDefinition.language,0,1,code
MessageDefinition.text,0,1,Narrative
MessageDefinition.contained,0,*,Resource
MessageDefinition.extension,0,*,Extension
MessageDefinition.modifierExtension,0,*,Extension
MessageDefinition.url,0,1,uri
MessageDefinition.identifier,0,*,Identifier
MessageDefinition.version,0,1,string
MessageDefinition.name,0,1,string
MessageDefinition.title,0,1,string
MessageDefinition.replaces,0,*,canonical
MessageDefinition.status,1,1,code
MessageDefinition.experimental,0,1,boolean
MessageDefinition.date,1,1,dateTime
MessageDefinition.publisher,0,1,string
MessageDefinition.contact,0,*,ContactDetail
MessageDefinition.description,0,1,markdown
MessageDefinition.useContext,0,*,UsageContext
MessageDefinition.jurisdiction,0,*,CodeableConcept
MessageDefinition.purpose,0,1,markdown
MessageDefinition.copyright,0,1,markdown
MessageDefinition.base,0,1,canonical
MessageDefinition.parent,0,*,canonical
MessageDefinition.event[x],1,1,Coding;uri
MessageDefinition.category,0,1,code
MessageDefinition.focus,0,*,BackboneElement
MessageDefinition.focus.id,0,1,http://hl7.org/fhirpath/System.String
MessageDefinition.focus.extension,0,*,Extension
MessageDefinition.focus.modifierExtension,0,*,Extension
MessageDefinition.focus.code,1,1,code
MessageDefinition.focus.profile,0,1,canonical
MessageDefinition.focus.min,1,1,unsignedInt
MessageDefinition.focus.max,0,1,string
MessageDefinition.responseRequired,0,1,code
MessageDefinition.allowedResponse,0,*,BackboneElement
MessageDefinition.allowedResponse.id,0,1,http://hl7.org/fhirpath/System.String
MessageDefinition.allowedResponse.extension,0,*,Extension
MessageDefinition.allowedResponse.modifierExtension,0,*,Extension
MessageDefinition.allowedResponse.message,1,1,canonical
MessageDefinition.allowedResponse.situation,0,1,markdown
MessageDefinition.graph,0,1,canonical
