path,min,max,type
MessageHeader.id,0,1,http://hl7.org/fhirpath/System.String
MessageHeader.meta,0,1,Meta
MessageHeader.implicitRules,0,1,uri
MessageHeader.language,0,1,code
MessageHeader.text,0,1,Narrative
MessageHeader.contained,0,*,Resource
MessageHeader.extension,0,*,Extension
MessageHeader.modifierExtension,0,*,Extension
MessageHeader.event[x],1,1,Coding;canonical
MessageHeader.destination,0,*,BackboneElement
MessageHeader.destination.id,0,1,http://hl7.org/fhirpath/System.String
MessageHeader.destination.extension,0,*,Extension
MessageHeader.destination.modifierExtension,0,*,Extension
MessageHeader.destination.endpoint[x],0,1,url;Reference
MessageHeader.destination.name,0,1,string
MessageHeader.destination.target,0,1,Reference
MessageHeader.destination.receiver,0,1,Reference
MessageHeader.sender,0,1,Reference
MessageHeader.author,0,1,Reference
MessageHeader.source,1,1,BackboneElement
MessageHeader.source.id,0,1,http://hl7.org/fhirpath/System.String
MessageHeader.source.extension,0,*,Extension
MessageHeader.source.modifierExtension,0,*,Extension
MessageHeader.source.endpoint[x],0,1,url;Reference
MessageHeader.source.name,0,1,string
MessageHeader.source.software,0,1,string
MessageHeader.source.version,0,1,string
MessageHeader.source.contact,0,1,ContactPoint
MessageHeader.responsible,0,1,Reference
MessageHeader.reason,0,1,CodeableConcept
MessageHeader.response,0,1,BackboneElement
MessageHeader.response.id,0,1,http://hl7.org/fhirpath/System.String
MessageHeader.response.extension,0,*,Extension
MessageHeader.response.modifierExtension,0,*,Extension
MessageHeader.response.identifier,1,1,Identifier
MessageHeader.response.code,1,1,code
MessageHeader.response.details,0,1,Reference
MessageHeader.focus,0,*,Reference
MessageHeader.definition,0,1,canonical
