path,min,max,type
MetadataResource.id,0,1,http://hl7.org/fhirpath/System.String
MetadataResource.meta,0,1,Meta
MetadataResource.implicitRules,0,1,uri
MetadataResource.language,0,1,code
MetadataResource.text,0,1,Narrative
MetadataResource.contained,0,*,Resource
MetadataResource.extension,0,*,Extension
MetadataResource.modifierExtension,0,*,Extension
MetadataResource.url,0,1,uri
MetadataResource.identifier,0,*,Identifier
MetadataResource.version,0,1,string
MetadataResource.versionAlgorithm[x],0,1,string;Coding
MetadataResource.name,0,1,string
MetadataResource.title,0,1,string
MetadataResource.status,1,1,code
MetadataResource.experimental,0,1,boolean
MetadataResource.date,0,1,dateTime
MetadataResource.publisher,0,1,string
MetadataResource.contact,0,*,ContactDetail
MetadataResource.description,0,1,markdown
MetadataResource.useContext,0,*,UsageContext
MetadataResource.jurisdiction,0,*,CodeableConcept
MetadataResource.purpose,0,1,markdown
MetadataResource.copyright,0,1,markdown
MetadataResource.copyrightLabel,0,1,string
MetadataResource.approvalDate,0,1,date
MetadataResource.lastReviewDate,0,1,date
MetadataResource.effectivePeriod,0,1,Period
MetadataResource.topic,0,*,CodeableConcept
MetadataResource.author,0,*,ContactDetail
MetadataResource.editor,0,*,ContactDetail
MetadataResource.reviewer,0,*,ContactDetail
MetadataResource.endorser,0,*,ContactDetail
MetadataResource.relatedArtifact,0,*,RelatedArtifact
