path,min,max,type
MolecularSequence.id,0,1,http://hl7.org/fhirpath/System.String
MolecularSequence.meta,0,1,Meta
MolecularSequence.implicitRules,0,1,uri
MolecularSequence.language,0,1,code
MolecularSequence.text,0,1,Narrative
MolecularSequence.contained,0,*,Resource
MolecularSequence.extension,0,*,Extension
MolecularSequence.modifierExtension,0,*,Extension
MolecularSequence.identifier,0,*,Identifier
MolecularSequence.type,0,1,code
MolecularSequence.subject,0,1,Reference
MolecularSequence.focus,0,*,Reference
MolecularSequence.specimen,0,1,Reference
MolecularSequence.device,0,1,Reference
MolecularSequence.performer,0,1,Reference
MolecularSequence.literal,0,1,string
MolecularSequence.formatted,0,*,Attachment
MolecularSequence.relative,0,*,BackboneElement
MolecularSequence.relative.id,0,1,http://hl7.org/fhirpath/System.String
MolecularSequence.relative.extension,0,*,Extension
MolecularSequence.relative.modifierExtension,0,*,Extension
MolecularSequence.relative.coordinateSystem,1,1,CodeableConcept
MolecularSequence.relative.ordinalPosition,0,1,integer
MolecularSequence.relative.sequenceRange,0,1,Range
MolecularSequence.relative.startingSequence,0,1,BackboneElement
MolecularSequence.relative.startingSequence.id,0,1,http://hl7.org/fhirpath/System.String
MolecularSequence.relative.startingSequence.extension,0,*,Extension
MolecularSequence.relative.startingSequence.modifierExtension,0,*,Extension
MolecularSequence.relative.startingSequence.genomeAssembly,0,1,CodeableConcept
MolecularSequence.relative.startingSequence.chromosome,0,1,CodeableConcept
MolecularSequence.relative.startingSequence.sequence[x],0,1,CodeableConcept;string;Reference
MolecularSequence.relative.startingSequence.windowStart,0,1,integer
MolecularSequence.relative.startingSequence.windowEnd,0,1,integer
MolecularSequence.relative.startingSequence.orientation,0,1,code
MolecularSequence.relative.startingSequence.strand,0,1,code
MolecularSequence.relative.edit,0,*,BackboneElement
MolecularSequence.relative.edit.id,0,1,http://hl7.org/fhirpath/System.String
MolecularSequence.relative.edit.extension,0,*,Extension
MolecularSequence.relative.edit.modifierExtension,0,*,Extension
MolecularSequence.relative.edit.start,0,1,integer
MolecularSequence.relative.edit.end,0,1,integer
MolecularSequence.relative.edit.replacementSequence,0,1,string
MolecularSequence.relative.edit.replacedSequence,0,1,string
