path,min,max,type
NamingSystem.id,0,1,http://hl7.org/fhirpath/System.String
NamingSystem.meta,0,1,Meta
NamingSystem.implicitRules,0,1,uri
NamingSystem.language,0,1,code
NamingSystem.text,0,1,Narrative
NamingSystem.contained,0,*,Resource
NamingSystem.extension,0,*,Extension
NamingSystem.modifierExtension,0,*,Extension
NamingSystem.url,0,1,uri
NamingSystem.identifier,0,*,Identifier
NamingSystem.version,0,1,string
NamingSystem.versionAlgorithm[x],0,1,string;Coding
NamingSystem.name,1,1,string
NamingSystem.title,0,1,string
NamingSystem.status,1,1,code
NamingSystem.kind,1,1,code
NamingSystem.experimental,0,1,boolean
NamingSystem.date,1,1,dateTime
NamingSystem.publisher,0,1,string
NamingSystem.contact,0,*,ContactDetail
NamingSystem.responsible,0,1,string
NamingSystem.type,0,1,CodeableConcept
NamingSystem.description,0,1,markdown
NamingSystem.useContext,0,*,UsageContext
NamingSystem.jurisdiction,0,*,CodeableConcept
NamingSystem.purpose,0,1,markdown
NamingSystem.copyright,0,1,markdown
NamingSystem.copyrightLabel,0,1,string
NamingSystem.approvalDate,0,1,date
NamingSystem.lastReviewDate,0,1,date
NamingSystem.effectivePeriod,0,1,Period
NamingSystem.topic,0,*,CodeableConcept
NamingSystem.author,0,*,ContactDetail
NamingSystem.editor,0,*,ContactDetail
NamingSystem.reviewer,0,*,ContactDetail
NamingSystem.endorser,0,*,ContactDetail
NamingSystem.relatedArtifact,0,*,RelatedArtifact
NamingSystem.usage,0,1,string
NamingSystem.uniqueId,1,*,BackboneElement
NamingSystem.uniqueId.id,0,1,http://hl7.org/fhirpath/System.String
NamingSystem.uniqueId.extension,0,*,Extension
NamingSystem.uniqueId.modifierExtension,0,*,Extension
NamingSystem.uniqueId.type,1,1,code
NamingSystem.uniqueId.value,1,1,string
NamingSystem.uniqueId.preferred,0,1,boolean
NamingSystem.uniqueId.comment,0,1,string
NamingSystem.uniqueId.period,0,1,Period
NamingSystem.uniqueId.authoritative,0,1,boolean
