path,min,max,type
NutritionIntake.id,0,1,http://hl7.org/fhirpath/System.String
NutritionIntake.meta,0,1,Meta
NutritionIntake.implicitRules,0,1,uri
NutritionIntake.language,0,1,code
NutritionIntake.text,0,1,Narrative
NutritionIntake.contained,0,*,Resource
NutritionIntake.extension,0,*,Extension
NutritionIntake.modifierExtension,0,*,Extension
NutritionIntake.identifier,0,*,Identifier
NutritionIntake.instantiatesCanonical,0,*,canonical
NutritionIntake.instantiatesUri,0,*,uri
NutritionIntake.basedOn,0,*,Reference
NutritionIntake.partOf,0,*,Reference
NutritionIntake.status,1,1,code
NutritionIntake.statusReason,0,*,CodeableConcept
NutritionIntake.code,0,1,CodeableConcept
NutritionIntake.subject,1,1,Reference
NutritionIntake.encounter,0,1,Reference
NutritionIntake.occurrence[x],0,1,dateTime;Period
NutritionIntake.recorded,0,1,dateTime
NutritionIntake.reported[x],0,1,boolean;Reference
NutritionIntake.consumedItem,1,*,BackboneElement
NutritionIntake.consumedItem.id,0,1,http://hl7.org/fhirpath/System.String
NutritionIntake.consumedItem.extension,0,*,Extension
NutritionIntake.consumedItem.modifierExtension,0,*,Extension
NutritionIntake.consumedItem.type,1,1,CodeableConcept
NutritionIntake.consumedItem.nutritionProduct,1,1,CodeableReference
NutritionIntake.consumedItem.schedule,0,1,Timing
NutritionIntake.consumedItem.amount,0,1,Quantity
NutritionIntake.consumedItem.rate,0,1,Quantity
NutritionIntake.consumedItem.notConsumed,0,1,boolean
NutritionIntake.consumedItem.notConsumedReason,0,1,CodeableConcept
NutritionIntake.ingredientLabel,0,*,BackboneElement
NutritionIntake.ingredientLabel.id,0,1,http://hl7.org/fhirpath/System.String
NutritionIntake.ingredientLabel.extension,0,*,Extension
NutritionIntake.ingredientLabel.modifierExtension,0,*,Extension
NutritionIntake.ingredientLabel.nutrient,1,1,CodeableReference
NutritionIntake.ingredientLabel.amount,1,1,Quantity
NutritionIntake.performer,0,*,BackboneElement
NutritionIntake.performer.id,0,1,http://hl7.org/fhirpath/System.String
NutritionIntake.performer.extension,0,*,Extension
NutritionIntake.performer.modifierExtension,0,*,Extension
NutritionIntake.performer.function,0,1,CodeableConcept
NutritionIntake.performer.actor,1,1,Reference
NutritionIntake.location,0,1,Reference
NutritionIntake.derivedFrom,0,*,Reference
NutritionIntake.reason,0,*,CodeableReference
NutritionIntake.note,0,*,Annotation
