path,min,max,type
NutritionOrder.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.meta,0,1,Meta
NutritionOrder.implicitRules,0,1,uri
NutritionOrder.language,0,1,code
NutritionOrder.text,0,1,Narrative
NutritionOrder.contained,0,*,Resource
NutritionOrder.extension,0,*,Extension
NutritionOrder.modifierExtension,0,*,Extension
NutritionOrder.identifier,0,*,Identifier
NutritionOrder.instantiatesCanonical,0,*,canonical
NutritionOrder.instantiatesUri,0,*,uri
NutritionOrder.instantiates,0,*,uri
NutritionOrder.basedOn,0,*,Reference
NutritionOrder.groupIdentifier,0,1,Identifier
NutritionOrder.status,1,1,code
NutritionOrder.intent,1,1,code
NutritionOrder.priority,0,1,code
NutritionOrder.subject,1,1,Reference
NutritionOrder.encounter,0,1,Reference
NutritionOrder.supportingInformation,0,*,Reference
NutritionOrder.dateTime,1,1,dateTime
NutritionOrder.orderer,0,1,Reference
NutritionOrder.performer,0,*,CodeableReference
NutritionOrder.allergyIntolerance,0,*,Reference
NutritionOrder.foodPreferenceModifier,0,*,CodeableConcept
NutritionOrder.excludeFoodModifier,0,*,CodeableConcept
NutritionOrder.outsideFoodAllowed,0,1,boolean
NutritionOrder.oralDiet,0,1,BackboneElement
NutritionOrder.oralDiet.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.oralDiet.extension,0,*,Extension
NutritionOrder.oralDiet.modifierExtension,0,*,Extension
NutritionOrder.oralDiet.type,0,*,CodeableConcept
NutritionOrder.oralDiet.schedule,0,1,BackboneElement
NutritionOrder.oralDiet.schedule.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.oralDiet.schedule.extension,0,*,Extension
NutritionOrder.oralDiet.schedule.modifierExtension,0,*,Extension
NutritionOrder.oralDiet.schedule.timing,0,*,Timing
NutritionOrder.oralDiet.schedule.asNeeded,0,1,boolean
NutritionOrder.oralDiet.schedule.asNeededFor,0,1,CodeableConcept
NutritionOrder.oralDiet.nutrient,0,*,BackboneElement
NutritionOrder.oralDiet.nutrient.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.oralDiet.nutrient.extension,0,*,Extension
NutritionOrder.oralDiet.nutrient.modifierExtension,0,*,Extension
NutritionOrder.oralDiet.nutrient.modifier,0,1,CodeableConcept
NutritionOrder.oralDiet.nutrient.amount,0,1,Quantity
NutritionOrder.oralDiet.texture,0,*,BackboneElement
NutritionOrder.oralDiet.texture.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.oralDiet.texture.extension,0,*,Extension
NutritionOrder.oralDiet.texture.modifierExtension,0,*,Extension
NutritionOrder.oralDiet.texture.modifier,0,1,CodeableConcept
NutritionOrder.oralDiet.texture.foodType,0,1,CodeableConcept
NutritionOrder.oralDiet.fluidConsistencyType,0,*,CodeableConcept
NutritionOrder.oralDiet.instruction,0,1,string
NutritionOrder.supplement,0,*,BackboneElement
NutritionOrder.supplement.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.supplement.extension,0,*,Extension
NutritionOrder.supplement.modifierExtension,0,*,Extension
NutritionOrder.supplement.type,0,1,CodeableReference
NutritionOrder.supplement.productName,0,1,string
NutritionOrder.supplement.schedule,0,1,BackboneElement
NutritionOrder.supplement.schedule.id,0,1,http://hl7.org/fhirpath/System.String
NutritionOrder.supplement.schedule.extension,0,*,Extension
NutritionOrder.supplement.schedule.modifierExtension,0,*,Extension
