path,min,max,type
NutritionProduct.id,0,1,http://hl7.org/fhirpath/System.String
NutritionProduct.meta,0,1,Meta
NutritionProduct.implicitRules,0,1,uri
NutritionProduct.language,0,1,code
NutritionProduct.text,0,1,Narrative
NutritionProduct.contained,0,*,Resource
NutritionProduct.extension,0,*,Extension
NutritionProduct.modifierExtension,0,*,Extension
NutritionProduct.code,0,1,CodeableConcept
NutritionProduct.status,1,1,code
NutritionProduct.category,0,*,CodeableConcept
NutritionProduct.manufacturer,0,*,Reference
NutritionProduct.nutrient,0,*,BackboneElement
NutritionProduct.nutrient.id,0,1,http://hl7.org/fhirpath/System.String
NutritionProduct.nutrient.extension,0,*,Extension
NutritionProduct.nutrient.modifierExtension,0,*,Extension
NutritionProduct.nutrient.item,0,1,CodeableReference
NutritionProduct.nutrient.amount,0,*,Ratio
NutritionProduct.ingredient,0,*,BackboneElement
NutritionProduct.ingredient.id,0,1,http://hl7.org/fhirpath/System.String
NutritionProduct.ingredient.extension,0,*,Extension
NutritionProduct.ingredient.modifierExtension,0,*,Extension
NutritionProduct.ingredient.item,1,1,CodeableReference
NutritionProduct.ingredient.amount,0,*,Ratio
NutritionProduct.knownAllergen,0,*,CodeableReference
NutritionProduct.characteristic,0,*,BackboneElement
NutritionProduct.characteristic.id,0,1,http://hl7.org/fhirpath/System.String
NutritionProduct.characteristic.extension,0,*,Extension
NutritionProduct.characteristic.modifierExtension,0,*,Extension
NutritionProduct.characteristic.type,1,1,CodeableConcept
NutritionProduct.characteristic.value[x],1,1,CodeableConcept;string;Quantity;base64Binary;Attachment;boolean
NutritionProduct.instance,0,*,BackboneElement
NutritionProduct.instance.id,0,1,http://hl7.org/fhirpath/System.String
NutritionProduct.instance.extension,0,*,Extension
NutritionProduct.instance.modifierExtension,0,*,Extension
NutritionProduct.instance.quantity,0,1,Quantity
NutritionProduct.instance.identifier,0,*,Identifier
NutritionProduct.instance.name,0,1,string
NutritionProduct.instance.lotNumber,0,1,string
NutritionProduct.instance.expiry,0,1,dateTime
NutritionProduct.instance.useBy,0,1,dateTime
NutritionProduct.instance.biologicalSourceEvent,0,1,Identifier
NutritionProduct.note,0,*,Annotation
