path,min,max,type
Observation.id,0,1,http://hl7.org/fhirpath/System.String
Observation.meta,0,1,Meta
Observation.implicitRules,0,1,uri
Observation.language,0,1,code
Observation.text,0,1,Narrative
Observation.contained,0,*,Resource
Observation.extension,0,*,Extension
Observation.modifierExtension,0,*,Extension
Observation.identifier,0,*,Identifier
Observation.instantiates[x],0,1,canonical;Reference
Observation.basedOn,0,*,Reference
Observation.triggeredBy,0,*,BackboneElement
Observation.triggeredBy.id,0,1,http://hl7.org/fhirpath/System.String
Observation.triggeredBy.extension,0,*,Extension
Observation.triggeredBy.modifierExtension,0,*,Extension
Observation.triggeredBy.observation,1,1,Reference
Observation.triggeredBy.type,1,1,code
Observation.triggeredBy.reason,0,1,string
Observation.partOf,0,*,Reference
Observation.status,1,1,code
Observation.category,0,*,CodeableConcept
Observation.code,1,1,CodeableConcept
Observation.subject,0,1,Reference
Observation.focus,0,*,Reference
Observation.encounter,0,1,Reference
Observation.effective[x],0,1,dateTime;Period;Timing;instant
Observation.issued,0,1,instant
Observation.performer,0,*,Reference
Observation.value[x],0,1,Quantity;CodeableConcept;markdown;boolean;integer;Range;Ratio;SampledData;time;dateTime;Period;Attachment;Reference;canonical
Observation.dataAbsentReason,0,1,CodeableConcept
Observation.interpretation,0,*,CodeableConcept
Observation.note,0,*,Annotation
Observation.bodySite,0,1,CodeableConcept
Observation.bodyStructure,0,1,Reference
Observation.method,0,1,CodeableConcept
Observation.specimen,0,1,Reference
Observation.device,0,1,Reference
Observation.referenceRange,0,*,BackboneElement
Observation.referenceRange.id,0,1,http://hl7.org/fhirpath/System.String
Observation.referenceRange.extension,0,*,Extension
Observation.referenceRange.modifierExtension,0,*,Extension
Observation.referenceRange.low,0,1,Quantity
Observation.referenceRange.high,0,1,Quantity
Observation.referenceRange.normalValue,0,1,CodeableConcept
Observation.referenceRange.type,0,1,CodeableConcept
Observation.referenceRange.appliesTo,0,*,CodeableConcept
Observation.referenceRange.age,0,1,Range
Observation.referenceRange.text,0,1,markdown
Observation.hasMember,0,*,Reference
Observation.derivedFrom,0,*,Reference
Observation.component,0,*,BackboneElement
Observation.component.id,0,1,http://hl7.org/fhirpath/System.String
Observation.component.extension,0,*,Extension
Observation.component.modifierExtension,0,*,Extension
Observation.component.code,1,1,CodeableConcept
Observation.component.value[x],0,1,Quantity;CodeableConcept;markdown;boolean;integer;Range;Ratio;SampledData;time;dateTime;Period;Attachment;Reference;canonical
Observation.component.dataAbsentReason,0,1,CodeableConcept
Observation.component.interpretation,0,*,CodeableConcept
